n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank
300,5,4,0.8825720914024767,55
500,2,1,0.8832385127076644,5
400,3,2,0.8829651065797101,22
400,5,3,0.8827087897946817,34
400,4,4,0.8826062677524426,52
700,5,3,0.8827942259978239,29
100,2,3,0.8826746134447158,44
500,2,3,0.8826916992838125,39
300,4,2,0.8830676356296074,12
800,3,4,0.882657526437676,48
400,2,4,0.8826062677524426,52
600,4,3,0.8826916992838126,37
100,4,2,0.8829480230764993,23
200,5,2,0.8828113223484083,28
600,2,2,0.8829992805937897,19
500,4,2,0.883101806139858,11
600,3,1,0.8831530694968637,10
300,3,2,0.8830676356296074,12
300,2,4,0.8825720914024767,55
500,4,3,0.8826916992838125,39
800,5,4,0.882657526437676,48
200,2,2,0.8829480219085563,25
300,2,1,0.8829651077476531,21
400,3,4,0.8826062677524426,52
200,2,3,0.8826233512556533,50
100,2,1,0.8829309290618012,27
800,2,3,0.8827258768017215,32
500,5,2,0.8830505521263968,14
700,3,3,0.8827942259978239,29
500,2,4,0.8826746169485451,42
500,3,3,0.8826916992838125,39
700,3,2,0.8830163699367157,15
500,3,4,0.8826746169485451,42
700,2,1,0.8834093921216074,1
400,3,1,0.883306864239653,2
200,2,4,0.8825037410384312,57
100,5,1,0.883170165847448,8
600,4,1,0.8832214233647384,7
200,4,2,0.8829480219085563,25
700,3,4,0.8827429684805336,31
200,3,4,0.8825037410384312,57
700,4,1,0.8832897772326131,3
400,4,3,0.8827087897946817,34
600,3,3,0.8826916992838126,37
100,2,2,0.8829480230764993,23
700,4,2,0.8830163699367157,15
200,4,3,0.8826233512556533,50
800,4,1,0.8832555997147042,4
700,5,1,0.8831701611756758,9
400,3,3,0.8827087897946817,34
700,5,2,0.8829821959226359,20
300,5,3,0.8826575287735621,46
100,4,3,0.8826746134447158,44
300,3,3,0.8826575287735621,46
600,4,4,0.8827087921305677,33
100,2,4,0.8824695635205224,59
100,4,1,0.8832385115397213,6
100,4,4,0.8824695635205224,59
700,2,2,0.8830163699367157,15
200,3,1,0.8830163699367156,18
