n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
300,5,4,0.8825720914024767,55,0.8821679994532158,0.879568242981555,9.0,0.8823700454278463,38.0
500,2,1,0.8832385127076644,5,0.8827147836784909,0.8800931071964024,1.0,0.8829766481930776,2.0
400,3,2,0.8829651065797101,22,0.8820996514250564,0.8794960058486394,10.0,0.8825323790023832,27.0
400,5,3,0.8827087897946817,34,0.8825097395940127,0.8799093749906762,4.0,0.8826092646943472,21.0
400,4,4,0.8826062677524426,52,0.8821679994532158,0.8795715477312003,9.0,0.8823871336028292,37.0
700,5,3,0.8827942259978239,29,0.8824413915658533,0.8798401847496113,5.0,0.8826178087818386,20.0
100,2,3,0.8826746134447158,44,0.882373043537694,0.8797864697849774,6.0,0.8825238284912049,29.0
500,2,3,0.8826916992838125,39,0.8825097395940127,0.8799065335909854,4.0,0.8826007194389126,23.0
300,4,2,0.8830676356296074,12,0.8818946073405782,0.8792922899117552,12.0,0.8824811214850928,31.0
800,3,4,0.882657526437676,48,0.8822363474813751,0.8796380142581481,8.0,0.8824469369595256,32.0
400,2,4,0.8826062677524426,52,0.8821679994532158,0.8795715477312003,9.0,0.8823871336028292,37.0
600,4,3,0.8826916992838126,37,0.8825097395940127,0.8799098051082086,4.0,0.8826007194389127,22.0
100,4,2,0.8829480230764993,23,0.882373043537694,0.8797631923784106,6.0,0.8826605333070967,17.0
200,5,2,0.8828113223484083,28,0.8825097395940127,0.879906695667401,4.0,0.8826605309712106,18.0
600,2,2,0.8829992805937897,19,0.8820996514250564,0.8794944420489279,10.0,0.8825494660094231,25.0
500,4,2,0.883101806139858,11,0.8822363474813751,0.8796273738994561,8.0,0.8826690768106166,16.0
600,3,1,0.8831530694968637,10,0.8827147836784909,0.880099816053004,1.0,0.8829339265876772,3.0
300,3,2,0.8830676356296074,12,0.8818946073405782,0.8792922899117552,12.0,0.8824811214850928,31.0
300,2,4,0.8825720914024767,55,0.8821679994532158,0.879568242981555,9.0,0.8823700454278463,38.0
500,4,3,0.8826916992838125,39,0.8825097395940127,0.8799065335909854,4.0,0.8826007194389126,23.0
800,5,4,0.882657526437676,48,0.8822363474813751,0.8796380142581481,8.0,0.8824469369595256,32.0
200,2,2,0.8829480219085563,25,0.882031303396897,0.8794316441419061,11.0,0.8824896626527265,30.0
300,2,1,0.8829651077476531,21,0.8825097395940127,0.879885431305879,4.0,0.882737423670833,13.0
400,3,4,0.8826062677524426,52,0.8821679994532158,0.8795715477312003,9.0,0.8823871336028292,37.0
200,2,3,0.8826233512556533,50,0.8822363474813751,0.8796318232712727,8.0,0.8824298493685142,33.0
100,2,1,0.8829309290618012,27,0.8827147836784909,0.8801137200547259,1.0,0.882822856370146,8.0
800,2,3,0.8827258768017215,32,0.882578087622172,0.8799775607136728,3.0,0.8826519822119467,19.0
500,5,2,0.8830505521263968,14,0.882578087622172,0.8799670774245592,3.0,0.8828143198742844,10.0
700,3,3,0.8827942259978239,29,0.8824413915658533,0.8798401847496113,5.0,0.8826178087818386,20.0
500,2,4,0.8826746169485451,42,0.8820996514250564,0.8795020433741197,10.0,0.8823871341868008,36.0
500,3,3,0.8826916992838125,39,0.8825097395940127,0.8799065335909854,4.0,0.8826007194389126,23.0
700,3,2,0.8830163699367157,15,0.8820996514250564,0.8794945595659702,10.0,0.8825580106808861,24.0
500,3,4,0.8826746169485451,42,0.8820996514250564,0.8795020433741197,10.0,0.8823871341868008,36.0
700,2,1,0.8834093921216074,1,0.8823046955095345,0.8796917950862034,7.0,0.882857043815571,6.0
400,3,1,0.883306864239653,2,0.8826464356503315,0.8800377787479019,2.0,0.8829766499449923,1.0
200,2,4,0.8825037410384312,57,0.882031303396897,0.8794354845821343,11.0,0.8822675222176641,39.0
100,5,1,0.883170165847448,8,0.8822363474813751,0.8796415859273057,8.0,0.8827032566644115,14.0
600,4,1,0.8832214233647384,7,0.8823046955095345,0.8797004102242816,7.0,0.8827630594371365,12.0
200,4,2,0.8829480219085563,25,0.882031303396897,0.8794316441419061,11.0,0.8824896626527265,30.0
700,3,4,0.8827429684805336,31,0.8823046955095345,0.8797043593737739,7.0,0.882523831995034,28.0
200,3,4,0.8825037410384312,57,0.882031303396897,0.8794354845821343,11.0,0.8822675222176641,39.0
700,4,1,0.8832897772326131,3,0.882373043537694,0.8797686299478794,6.0,0.8828314103851536,7.0
400,4,3,0.8827087897946817,34,0.8825097395940127,0.8799093749906762,4.0,0.8826092646943472,21.0
600,3,3,0.8826916992838126,37,0.8825097395940127,0.8799098051082086,4.0,0.8826007194389127,22.0
100,2,2,0.8829480230764993,23,0.882373043537694,0.8797631923784106,6.0,0.8826605333070967,17.0
700,4,2,0.8830163699367157,15,0.8820996514250564,0.8794945595659702,10.0,0.8825580106808861,24.0
200,4,3,0.8826233512556533,50,0.8822363474813751,0.8796318232712727,8.0,0.8824298493685142,33.0
800,4,1,0.8832555997147042,4,0.882373043537694,0.8797686299478794,6.0,0.8828143216261991,9.0
700,5,1,0.8831701611756758,9,0.882578087622172,0.879970156746482,3.0,0.882874124398924,4.0
400,3,3,0.8827087897946817,34,0.8825097395940127,0.8799093749906762,4.0,0.8826092646943472,21.0
700,5,2,0.8829821959226359,20,0.882373043537694,0.8797647602194056,6.0,0.8826776197301649,15.0
300,5,3,0.8826575287735621,46,0.8824413915658533,0.8798381923025627,5.0,0.8825494601697077,26.0
100,4,3,0.8826746134447158,44,0.882373043537694,0.8797864697849774,6.0,0.8825238284912049,29.0
300,3,3,0.8826575287735621,46,0.8824413915658533,0.8798381923025627,5.0,0.8825494601697077,26.0
600,4,4,0.8827087921305677,33,0.8820996514250564,0.8795019144218021,10.0,0.8824042217778121,35.0
100,2,4,0.8824695635205224,59,0.882373043537694,0.8797685643195801,6.0,0.8824213035291082,34.0
100,4,1,0.8832385115397213,6,0.882373043537694,0.8797852237620147,6.0,0.8828057775387077,11.0
100,4,4,0.8824695635205224,59,0.882373043537694,0.8797685643195801,6.0,0.8824213035291082,34.0
700,2,2,0.8830163699367157,15,0.8820996514250564,0.8794945595659702,10.0,0.8825580106808861,24.0
200,3,1,0.8830163699367156,18,0.8827147836784909,0.8801096653858863,1.0,0.8828655768076032,5.0
