n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank
800,4,4,0.8867415768997307,4
300,5,3,0.8867074005497648,31
800,4,1,0.8866732253677421,53
300,4,4,0.8867415768997307,4
700,5,3,0.8867074005497648,31
500,4,4,0.8867415768997307,4
500,4,1,0.8867244887247477,21
600,2,2,0.8867244887247477,21
300,3,3,0.8867074005497648,31
500,3,1,0.8867244898926907,20
400,4,4,0.8867415768997307,4
100,4,2,0.8866390466818901,58
200,3,3,0.8867074005497648,31
800,4,3,0.8867074005497648,31
400,3,1,0.8866732253677421,53
100,3,4,0.8867415768997307,4
500,3,2,0.8867244887247477,21
100,3,2,0.8866390466818901,58
600,5,2,0.8867074005497648,31
600,2,1,0.8867586615708843,2
700,2,3,0.8867074005497648,31
800,2,2,0.8867244887247477,21
800,5,2,0.8867074005497648,31
600,5,1,0.8867415757317876,18
500,5,4,0.8867415768997307,4
700,2,2,0.8867074005497648,31
500,3,4,0.8867415768997307,4
100,4,3,0.8867244887247477,21
200,4,2,0.8866732253677421,53
100,2,4,0.8867415768997307,4
300,2,2,0.8866903123747819,49
700,3,3,0.8867074005497648,31
100,2,2,0.8866390466818901,58
200,3,4,0.8867415768997307,4
800,3,3,0.8867074005497648,31
700,3,4,0.8867244887247477,21
200,2,4,0.8867415768997307,4
200,3,1,0.8866732265356851,51
800,2,1,0.8867586615708843,2
600,3,3,0.8867074005497648,31
700,3,2,0.8867074005497648,31
100,3,3,0.8867244887247477,21
600,2,4,0.8867415768997307,4
400,3,2,0.8867074005497648,31
100,2,1,0.8867244840529754,30
700,4,1,0.8866732253677421,53
200,4,4,0.8867415768997307,4
500,5,1,0.8867586639067705,1
400,2,2,0.8867074005497648,31
400,5,1,0.8867244887247477,21
700,5,1,0.8867415757317876,18
600,3,2,0.8867244887247477,21
600,3,1,0.8866732253677421,53
300,3,1,0.886673226535685,52
200,5,3,0.8867074005497648,31
300,4,3,0.8867074005497648,31
300,4,2,0.8866903123747819,49
800,3,4,0.8867415768997307,4
800,2,4,0.8867415768997307,4
600,5,3,0.8867074005497648,31
