n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
800,4,4,0.8867415768997307,4,0.8842184402979975,0.8840464651878188,2.0,0.8854800085988641,3.0
300,5,3,0.8867074005497648,31,0.8842184402979975,0.8840464651878188,2.0,0.8854629204238811,6.0
800,4,1,0.8866732253677421,53,0.8840133962135193,0.8838432472137663,5.0,0.8853433107906307,19.0
300,4,4,0.8867415768997307,4,0.8842184402979975,0.8840464651878188,2.0,0.8854800085988641,3.0
700,5,3,0.8867074005497648,31,0.8842184402979975,0.8840464651878188,2.0,0.8854629204238811,6.0
500,4,4,0.8867415768997307,4,0.8842184402979975,0.8840464651878188,2.0,0.8854800085988641,3.0
500,4,1,0.8867244887247477,21,0.8840133962135193,0.8838432472137663,5.0,0.8853689424691336,18.0
600,2,2,0.8867244887247477,21,0.884150092269838,0.8839787261280504,3.0,0.8854372904972929,11.0
300,3,3,0.8867074005497648,31,0.8842184402979975,0.8840464651878188,2.0,0.8854629204238811,6.0
500,3,1,0.8867244898926907,20,0.8842184402979975,0.8840478842252213,2.0,0.8854714650953441,4.0
400,4,4,0.8867415768997307,4,0.8842184402979975,0.8840464651878188,2.0,0.8854800085988641,3.0
100,4,2,0.8866390466818901,58,0.8842184402979975,0.8840464651878188,2.0,0.8854287434899437,13.0
200,3,3,0.8867074005497648,31,0.8842184402979975,0.8840464651878188,2.0,0.8854629204238811,6.0
800,4,3,0.8867074005497648,31,0.8842184402979975,0.8840464651878188,2.0,0.8854629204238811,6.0
400,3,1,0.8866732253677421,53,0.8843551363543162,0.884184781646443,1.0,0.8855141808610292,2.0
100,3,4,0.8867415768997307,4,0.8842184402979975,0.8840464651878188,2.0,0.8854800085988641,3.0
500,3,2,0.8867244887247477,21,0.884150092269838,0.8839787261280504,3.0,0.8854372904972929,11.0
100,3,2,0.8866390466818901,58,0.8842184402979975,0.8840464651878188,2.0,0.8854287434899437,13.0
600,5,2,0.8867074005497648,31,0.884150092269838,0.8839787261280504,3.0,0.8854287464098014,12.0
600,2,1,0.8867586615708843,2,0.884150092269838,0.8839801437992538,3.0,0.8854543769203611,8.0
700,2,3,0.8867074005497648,31,0.8842184402979975,0.8840464651878188,2.0,0.8854629204238811,6.0
800,2,2,0.8867244887247477,21,0.884150092269838,0.8839787261280504,3.0,0.8854372904972929,11.0
800,5,2,0.8867074005497648,31,0.8842184402979975,0.8840464651878188,2.0,0.8854629204238811,6.0
600,5,1,0.8867415757317876,18,0.8840817442416786,0.8839109868039997,4.0,0.8854116599867331,15.0
500,5,4,0.8867415768997307,4,0.8842184402979975,0.8840464651878188,2.0,0.8854800085988641,3.0
700,2,2,0.8867074005497648,31,0.884150092269838,0.8839787261280504,3.0,0.8854287464098014,12.0
500,3,4,0.8867415768997307,4,0.8842184402979975,0.8840464651878188,2.0,0.8854800085988641,3.0
100,4,3,0.8867244887247477,21,0.8842184402979975,0.8840464651878188,2.0,0.8854714645113726,5.0
