n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank
200,2,3,0.8768989200871398,29
500,5,3,0.8768134827160543,40
500,3,3,0.8768134827160543,40
400,4,4,0.8765059002381344,55
600,4,1,0.8773432079649232,11
800,3,1,0.8774628193500882,2
600,5,1,0.8773944713219288,5
300,2,4,0.8765059014060773,54
700,3,4,0.8765913399451057,45
400,2,4,0.8765059002381344,55
800,2,4,0.8765571647630831,50
500,2,2,0.8769843597941113,23
400,5,4,0.8765059002381344,55
500,3,1,0.8774457323430483,4
400,3,1,0.8774628158462591,3
400,3,4,0.8765059002381344,55
700,3,3,0.876847656730134,33
600,3,2,0.8770527124940429,17
100,3,3,0.8769330964371056,26
100,4,2,0.8771381592086728,14
600,4,3,0.8768134827160545,38
400,2,1,0.8773432067969802,12
100,2,2,0.8771381592086728,14
500,4,1,0.8773773819790028,9
400,5,3,0.8768305697230943,35
700,4,2,0.8770356243190599,19
400,4,3,0.8768305697230943,35
100,2,1,0.8773432044610939,13
500,4,2,0.8769843597941113,23
200,5,3,0.8768989200871398,29
700,3,1,0.8774799075250711,1
500,2,1,0.8773602903001907,10
100,4,4,0.8766255139591854,42
100,5,4,0.8766255139591854,42
300,5,2,0.8770185384799632,21
800,3,4,0.8765571647630831,50
300,2,2,0.8769330952691625,28
600,4,4,0.8765229884131173,52
700,5,4,0.8765913399451057,45
700,4,1,0.8773773854828322,6
100,2,4,0.8766255139591854,42
400,5,2,0.8770356254870031,18
600,2,3,0.8768134827160545,38
800,5,3,0.8768476567301342,32
100,3,2,0.8771381592086728,14
400,4,1,0.877377384314889,7
700,2,4,0.8765913399451057,45
200,3,3,0.8768989200871398,29
700,2,3,0.876847656730134,33
100,4,3,0.8769330964371056,26
200,4,4,0.8765742517701229,48
600,2,4,0.8765229884131173,52
700,2,2,0.8770356243190599,19
200,3,4,0.8765742517701229,48
500,3,4,0.8765058990701912,59
100,5,2,0.8769843586261681,25
500,4,4,0.8765058990701912,59
400,3,3,0.8768305697230943,35
800,5,1,0.877377381979003,8
200,5,2,0.8769843632979406,22
