n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
200,2,3,0.8768989200871398,29,0.8760166769188709,0.8755417112035233,14.0,0.8764577985030053,23.0
500,5,3,0.8768134827160543,40,0.8760166769188709,0.8755382641722114,14.0,0.8764150798174626,29.0
500,3,3,0.8768134827160543,40,0.8760166769188709,0.8755382641722114,14.0,0.8764150798174626,29.0
400,4,4,0.8765059002381344,55,0.8758799808625521,0.8753871429626325,16.0,0.8761929405503432,35.0
600,4,1,0.8773432079649232,11,0.8767685052286242,0.8762945921614456,4.0,0.8770558565967737,7.0
800,3,1,0.8774628193500882,2,0.8766318091723054,0.8761634453270527,6.0,0.8770473142611968,8.0
600,5,1,0.8773944713219288,5,0.876563461144146,0.8760858850082109,7.0,0.8769789662330374,10.0
300,2,4,0.8765059014060773,54,0.8758116328343927,0.8753240716617671,17.0,0.876158767120235,37.0
700,3,4,0.8765913399451057,45,0.8759483288907115,0.8754588588606983,15.0,0.8762698344179086,30.0
400,2,4,0.8765059002381344,55,0.8758799808625521,0.8753871429626325,16.0,0.8761929405503432,35.0
800,2,4,0.8765571647630831,50,0.8758799808625521,0.8753932237882811,16.0,0.8762185728128176,34.0
500,2,2,0.8769843597941113,23,0.876221721003349,0.8757498423807191,12.0,0.8766030403987302,21.0
400,5,4,0.8765059002381344,55,0.8758799808625521,0.8753871429626325,16.0,0.8761929405503432,35.0
500,3,1,0.8774457323430483,4,0.8767001572004648,0.8762272649996263,5.0,0.8770729447717566,5.0
400,3,1,0.8774628158462591,3,0.876563461144146,0.8760904241149242,7.0,0.8770131384952025,9.0
400,3,4,0.8765059002381344,55,0.8758799808625521,0.8753871429626325,16.0,0.8761929405503432,35.0
700,3,3,0.876847656730134,33,0.8760166769188709,0.8755435763435994,14.0,0.8764321668245024,26.0
600,3,2,0.8770527124940429,17,0.8762900690315084,0.875820787515648,11.0,0.8766713907627757,20.0
100,3,3,0.8769330964371056,26,0.8759483288907115,0.8754582797077606,15.0,0.8764407126639085,24.0
100,4,2,0.8771381592086728,14,0.876221721003349,0.8757352255183675,12.0,0.8766799401060109,18.0
600,4,3,0.8768134827160545,38,0.8760166769188709,0.8755382641722114,14.0,0.8764150798174627,28.0
400,2,1,0.8773432067969802,12,0.8768368532567835,0.8763569244090303,3.0,0.8770900300268818,3.0
100,2,2,0.8771381592086728,14,0.876221721003349,0.8757352255183675,12.0,0.8766799401060109,18.0
500,4,1,0.8773773819790028,9,0.876563461144146,0.8760926833465267,7.0,0.8769704215615743,11.0
400,5,3,0.8768305697230943,35,0.8760166769188709,0.8755382641722114,14.0,0.8764236233209826,27.0
700,4,2,0.8770356243190599,19,0.8761533729751897,0.8756785370794076,13.0,0.8765944986471248,22.0
400,4,3,0.8768305697230943,35,0.8760166769188709,0.8755382641722114,14.0,0.8764236233209826,27.0
100,2,1,0.8773432044610939,13,0.8771102453694211,0.876645898338958,1.0,0.8772267249152574,1.0
500,4,2,0.8769843597941113,23,0.876221721003349,0.8757498423807191,12.0,0.8766030403987302,21.0
200,5,3,0.8768989200871398,29,0.8760166769188709,0.8755417112035233,14.0,0.8764577985030053,23.0
700,3,1,0.8774799075250711,1,0.8766318091723054,0.8761658685309712,6.0,0.8770558583486883,6.0
500,2,1,0.8773602903001907,10,0.876905201284943,0.8764292915238175,2.0,0.8771327457925668,2.0
100,4,4,0.8766255139591854,42,0.8758116328343927,0.8753192787736357,17.0,0.8762185733967891,33.0
100,5,4,0.8766255139591854,42,0.8758116328343927,0.8753192787736357,17.0,0.8762185733967891,33.0
300,5,2,0.8770185384799632,21,0.8764267650878272,0.8759605049980485,9.0,0.8767226517838953,16.0
800,3,4,0.8765571647630831,50,0.8758799808625521,0.8753932237882811,16.0,0.8762185728128176,34.0
300,2,2,0.8769330952691625,28,0.8764267650878272,0.875955007907762,9.0,0.8766799301784949,19.0
600,4,4,0.8765229884131173,52,0.8759483288907115,0.8754588588606983,15.0,0.8762356586519144,31.0
700,5,4,0.8765913399451057,45,0.8759483288907115,0.8754588588606983,15.0,0.8762698344179086,30.0
700,4,1,0.8773773854828322,6,0.8767685052286242,0.8762926492057157,4.0,0.8770729453557282,4.0
100,2,4,0.8766255139591854,42,0.8758116328343927,0.8753192787736357,17.0,0.8762185733967891,33.0
400,5,2,0.8770356254870031,18,0.8764267650878272,0.8759605049980485,9.0,0.8767311952874152,15.0
600,2,3,0.8768134827160545,38,0.8760166769188709,0.8755382641722114,14.0,0.8764150798174627,28.0
800,5,3,0.8768476567301342,32,0.8760166769188709,0.8755435763435994,14.0,0.8764321668245025,25.0
100,3,2,0.8771381592086728,14,0.876221721003349,0.8757352255183675,12.0,0.8766799401060109,18.0
400,4,1,0.877377384314889,7,0.8763584170596679,0.875876505645375,10.0,0.8768679006872784,13.0
700,2,4,0.8765913399451057,45,0.8759483288907115,0.8754588588606983,15.0,0.8762698344179086,30.0
200,3,3,0.8768989200871398,29,0.8760166769188709,0.8755417112035233,14.0,0.8764577985030053,23.0
700,2,3,0.876847656730134,33,0.8760166769188709,0.8755435763435994,14.0,0.8764321668245024,26.0
100,4,3,0.8769330964371056,26,0.8759483288907115,0.8754582797077606,15.0,0.8764407126639085,24.0
200,4,4,0.8765742517701229,48,0.8757432848062333,0.8752628058267589,18.0,0.8761587682881782,36.0
600,2,4,0.8765229884131173,52,0.8759483288907115,0.8754588588606983,15.0,0.8762356586519144,31.0
700,2,2,0.8770356243190599,19,0.8761533729751897,0.8756785370794076,13.0,0.8765944986471248,22.0
200,3,4,0.8765742517701229,48,0.8757432848062333,0.8752628058267589,18.0,0.8761587682881782,36.0
