n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank
800,3,1,0.9085457015887717,14
300,2,4,0.9080501515219256,60
500,2,2,0.9085457027567146,13
400,4,4,0.9081185065577434,58
300,2,1,0.9086311412957431,5
800,5,3,0.9084089985247945,31
800,3,2,0.9084944358958799,20
400,3,3,0.9083235599857661,40
800,4,3,0.9084089985247945,31
600,4,3,0.908323559985766,42
700,5,3,0.9084089996927375,28
300,4,3,0.9083919103498116,36
600,5,4,0.9081526782359369,53
100,5,1,0.908289380131971,46
500,4,4,0.9082210321038117,48
400,5,1,0.9085115240708628,18
600,3,4,0.9081526782359369,53
100,2,2,0.9084431713709311,24
200,4,4,0.9081868592576751,49
600,4,2,0.9085115240708628,18
700,3,3,0.9084089996927375,28
300,5,1,0.9084773453850108,23
600,2,1,0.9085457039246578,11
400,5,2,0.9084260866997773,26
300,2,3,0.9083919103498116,36
600,4,4,0.9081526782359369,53
600,2,4,0.9081526782359369,53
700,5,2,0.9085798814425667,9
100,4,3,0.908289378964028,47
700,4,3,0.9084089996927375,28
800,3,4,0.9081355923968402,57
500,5,3,0.9083064729787262,44
600,5,1,0.9086311354560278,7
400,4,1,0.9083919115177547,35
700,5,1,0.9086311366239709,6
700,3,1,0.9086824034848058,2
100,2,4,0.9083235611537092,38
600,2,3,0.908323559985766,42
500,4,3,0.9083064729787262,44
400,5,4,0.9081185065577434,58
400,2,1,0.9086824046527487,1
500,2,1,0.9086653188136521,4
300,2,2,0.9085456980849425,15
800,3,3,0.9084089985247945,31
400,5,3,0.9083235599857661,40
200,5,2,0.9085969649457772,8
100,3,4,0.9083235611537092,38
400,4,2,0.9084773500567831,22
400,3,1,0.9086653199815952,3
600,5,2,0.9085457039246578,11
300,4,1,0.9085627944355268,10
700,3,4,0.9081868545859028,50
700,2,4,0.9081868545859028,50
700,5,4,0.9081868545859028,50
100,4,2,0.9084431713709311,24
800,2,2,0.9084944358958799,20
800,2,3,0.9084089985247945,31
200,5,3,0.9084089996927376,27
800,4,1,0.908528618085561,17
300,4,2,0.9085456980849425,15
