n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
800,3,1,0.9085457015887717,14,0.9082085981819424,0.9091267297205212,4.0,0.908377149885357,8.0
300,2,4,0.9080501515219256,60,0.9079352060693049,0.9089382648177773,8.0,0.9079926787956152,39.0
500,2,2,0.9085457027567146,13,0.9080719021256237,0.9090367164945125,6.0,0.9083088024411692,17.0
400,4,4,0.9081185065577434,58,0.9080035540974642,0.9089895389295899,7.0,0.9080610303276038,35.0
300,2,1,0.9086311412957431,5,0.9079352060693049,0.9088510891185975,8.0,0.908283173682524,19.0
800,5,3,0.9084089985247945,31,0.9077985100129862,0.9087833054133317,10.0,0.9081037542688903,30.0
800,3,2,0.9084944358958799,20,0.9081402501537831,0.9091044153256177,5.0,0.9083173430248315,14.0
400,3,3,0.9083235599857661,40,0.9080035540974642,0.9089839775774942,7.0,0.9081635570416151,27.0
800,4,3,0.9084089985247945,31,0.9077985100129862,0.9087833054133317,10.0,0.9081037542688903,30.0
600,4,3,0.908323559985766,42,0.9078668580411455,0.9088567338532106,9.0,0.9080952090134558,32.0
700,5,3,0.9084089996927375,28,0.9080035540974642,0.9089837445340708,7.0,0.9082062768951009,26.0
300,4,3,0.9083919103498116,36,0.9081402501537831,0.9091110372529531,5.0,0.9082660802517973,23.0
600,5,4,0.9081526782359369,53,0.9077985100129862,0.9087929494537605,10.0,0.9079755941244616,40.0
100,5,1,0.908289380131971,46,0.9079352060693049,0.9088482335789352,8.0,0.908112293100638,28.0
500,4,4,0.9082210321038117,48,0.9077985100129862,0.9087929494537605,10.0,0.908009771058399,36.0
400,5,1,0.9085115240708628,18,0.9082769462101018,0.9092032006930626,3.0,0.9083942351404823,6.0
600,3,4,0.9081526782359369,53,0.9077985100129862,0.9087929494537605,10.0,0.9079755941244616,40.0
100,2,2,0.9084431713709311,24,0.9077301619848267,0.9086732043684087,11.0,0.9080866666778789,33.0
200,4,4,0.9081868592576751,49,0.9077301619848267,0.9087291793699327,11.0,0.9079585106212509,41.0
600,4,2,0.9085115240708628,18,0.9080035540974642,0.908975262205877,7.0,0.9082575390841635,24.0
700,3,3,0.9084089996927375,28,0.9080035540974642,0.9089837445340708,7.0,0.9082062768951009,26.0
