n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank
200,2,2,0.8888433511781019,28
500,4,1,0.8889458767241701,8
600,5,4,0.8887237386249938,58
600,4,4,0.8887237386249938,58
100,5,3,0.8888775275280677,18
700,4,3,0.8888604393530848,21
600,5,1,0.888997143585005,3
300,4,1,0.8889800519061929,4
700,4,2,0.888809173660193,43
500,3,3,0.888843352346045,24
600,4,2,0.8888262618351759,40
300,5,2,0.8887579114711304,56
500,4,3,0.888843352346045,24
400,2,3,0.8888775286960108,16
300,4,3,0.8888262653390051,33
200,5,3,0.888843352346045,24
700,5,1,0.889014232927931,2
800,4,4,0.8887920889890393,44
500,3,4,0.8887750031499425,49
200,4,4,0.888826264171062,35
600,2,4,0.8887237386249938,58
800,3,1,0.88896296373121,7
800,2,1,0.8888433476742726,32
500,5,4,0.8887750031499425,49
800,4,2,0.8887920866531531,46
700,3,4,0.8887750008140564,54
600,3,3,0.8889117038780335,12
300,3,2,0.8888091759960791,41
300,3,1,0.8890484046061244,1
500,2,1,0.8889117038780335,12
200,5,2,0.8888604381851417,22
200,3,3,0.888843352346045,24
400,3,4,0.8887750019819994,53
400,5,3,0.8888775286960108,16
100,2,1,0.888792084317267,48
300,3,3,0.8888262653390051,33
100,4,1,0.8889117073818628,10
400,2,1,0.8889117027100905,14
800,3,2,0.8887920866531531,46
200,4,2,0.8888433511781019,28
800,5,2,0.8887579126390734,55
300,4,4,0.888826263003119,38
100,3,4,0.8888433488422157,30
400,2,2,0.8888604370171986,23
400,4,1,0.888962964899153,6
200,5,1,0.8889117062139197,11
100,5,4,0.8888433488422157,30
100,4,3,0.8888775275280677,18
500,3,1,0.8889458755562271,9
500,2,4,0.8887750031499425,49
200,2,4,0.888826264171062,35
100,3,3,0.8888775275280677,18
100,5,2,0.8889117003742043,15
100,4,2,0.8887408209602613,57
500,4,2,0.8887920878210962,45
500,4,4,0.8887750031499425,49
600,3,1,0.8889800507382498,5
300,4,2,0.8888091759960791,41
200,5,4,0.888826264171062,35
300,5,4,0.888826263003119,38
