n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
200,2,2,0.8888433511781019,28,0.8912582871984144,0.8910702264471524,5.0,0.8900508191882581,27.0
500,4,1,0.8889458767241701,8,0.8913266352265737,0.891142983981409,4.0,0.8901362559753719,11.0
600,5,4,0.8887237386249938,58,0.8912582871984144,0.8910719471986097,5.0,0.8899910129117041,38.0
600,4,4,0.8887237386249938,58,0.8912582871984144,0.8910719471986097,5.0,0.8899910129117041,38.0
100,5,3,0.8888775275280677,18,0.8913949832547331,0.8912105918902998,3.0,0.8901362553914004,12.0
700,4,3,0.8888604393530848,21,0.8913949832547331,0.8912105918902998,3.0,0.890127711303909,13.0
600,5,1,0.888997143585005,3,0.8913949832547331,0.8912123020879927,3.0,0.8901960634198691,2.0
300,4,1,0.8889800519061929,4,0.8913949832547331,0.8912105918902998,3.0,0.890187517580463,5.0
700,4,2,0.888809173660193,43,0.8913266352265737,0.8911412706086574,4.0,0.8900679044433834,24.0
500,3,3,0.888843352346045,24,0.8913949832547331,0.8912105918902998,3.0,0.890119167800389,14.0
600,4,2,0.8888262618351759,40,0.8913949832547331,0.8912105918902998,3.0,0.8901106225449544,16.0
300,5,2,0.8887579114711304,56,0.8913266352265737,0.8911412706086574,4.0,0.890042273348852,29.0
500,4,3,0.888843352346045,24,0.8913949832547331,0.8912105918902998,3.0,0.890119167800389,14.0
400,2,3,0.8888775286960108,16,0.8913266352265737,0.891142983981409,4.0,0.8901020819612923,17.0
300,4,3,0.8888262653390051,33,0.8913949832547331,0.8912105918902998,3.0,0.890110624296869,15.0
200,5,3,0.888843352346045,24,0.8913266352265737,0.8911412706086574,4.0,0.8900849937863093,20.0
700,5,1,0.889014232927931,2,0.8912582871984144,0.8910770842498549,5.0,0.8901362600631727,10.0
800,4,4,0.8887920889890393,44,0.8913266352265737,0.8911395530379369,4.0,0.8900593621078066,25.0
500,3,4,0.8887750031499425,49,0.8911899391702549,0.8910026216581103,6.0,0.8899824711600988,39.0
200,4,4,0.888826264171062,35,0.8911899391702549,0.8910043413892972,6.0,0.8900081016706585,35.0
600,2,4,0.8887237386249938,58,0.8912582871984144,0.8910719471986097,5.0,0.8899910129117041,38.0
800,3,1,0.88896296373121,7,0.8911899391702549,0.8910094753654805,6.0,0.8900764514507324,22.0
800,2,1,0.8888433476742726,32,0.8911899391702549,0.8910060569172347,6.0,0.8900166434222638,34.0
500,5,4,0.8887750031499425,49,0.8911899391702549,0.8910026216581103,6.0,0.8899824711600988,39.0
800,4,2,0.8887920866531531,46,0.8913949832547331,0.8912105918902998,3.0,0.8900935349539432,18.0
700,3,4,0.8887750008140564,54,0.8913949832547331,0.891208877497543,3.0,0.8900849920343947,21.0
600,3,3,0.8889117038780335,12,0.8913949832547331,0.8912105918902998,3.0,0.8901533435663833,7.0
300,3,2,0.8888091759960791,41,0.8911215911420955,0.8909367356080854,7.0,0.8899653835690873,40.0
300,3,1,0.8890484046061244,1,0.8912582871984144,0.8910770842498549,5.0,0.8901533459022695,6.0
500,2,1,0.8889117038780335,12,0.8911899391702549,0.8910060569172347,6.0,0.8900508215241443,26.0
200,5,2,0.8888604381851417,22,0.8911899391702549,0.8910043413892972,6.0,0.8900251886776983,30.0
200,3,3,0.888843352346045,24,0.8913266352265737,0.8911412706086574,4.0,0.8900849937863093,20.0
400,3,4,0.8887750019819994,53,0.8912582871984144,0.8910719471986097,5.0,0.8900166445902069,32.0
400,5,3,0.8888775286960108,16,0.8913266352265737,0.891142983981409,4.0,0.8901020819612923,17.0
100,2,1,0.888792084317267,48,0.8916000273392113,0.8914134157975899,1.0,0.8901960558282391,3.0
300,3,3,0.8888262653390051,33,0.8913949832547331,0.8912105918902998,3.0,0.890110624296869,15.0
100,4,1,0.8889117073818628,10,0.8914633312828925,0.8912781998280175,2.0,0.8901875193323776,4.0
400,2,1,0.8889117027100905,14,0.8911215911420955,0.89094016040856,7.0,0.8900166469260931,31.0
800,3,2,0.8887920866531531,46,0.8913949832547331,0.8912105918902998,3.0,0.8900935349539432,18.0
200,4,2,0.8888433511781019,28,0.8912582871984144,0.8910702264471524,5.0,0.8900508191882581,27.0
800,5,2,0.8887579126390734,55,0.8913266352265737,0.8911395530379369,4.0,0.8900422739328235,28.0
300,4,4,0.888826263003119,38,0.8913266352265737,0.8911412706086574,4.0,0.8900764491148463,23.0
100,3,4,0.8888433488422157,30,0.8911899391702549,0.8910043413892972,6.0,0.8900166440062354,33.0
400,2,2,0.8888604370171986,23,0.8911215911420955,0.8909384501108699,7.0,0.8899910140796471,36.0
400,4,1,0.888962964899153,6,0.8913266352265737,0.891142983981409,4.0,0.8901448000628633,9.0
200,5,1,0.8889117062139197,11,0.8912582871984144,0.8910736637491926,5.0,0.890084996706167,19.0
100,5,4,0.8888433488422157,30,0.8911899391702549,0.8910043413892972,6.0,0.8900166440062354,33.0
100,4,3,0.8888775275280677,18,0.8913949832547331,0.8912105918902998,3.0,0.8901362553914004,12.0
500,3,1,0.8889458755562271,9,0.8914633312828925,0.8912833209047633,2.0,0.8902046034195598,1.0
500,2,4,0.8887750031499425,49,0.8911899391702549,0.8910026216581103,6.0,0.8899824711600988,39.0
200,2,4,0.888826264171062,35,0.8911899391702549,0.8910043413892972,6.0,0.8900081016706585,35.0
100,3,3,0.8888775275280677,18,0.8913949832547331,0.8912105918902998,3.0,0.8901362553914004,12.0
100,5,2,0.8889117003742043,15,0.8913266352265737,0.891136105300467,4.0,0.890119167800389,14.0
100,4,2,0.8887408209602613,57,0.8911215911420955,0.8909350168996766,7.0,0.8899312060511784,41.0
500,4,2,0.8887920878210962,45,0.8911899391702549,0.8910060569172347,6.0,0.8899910134956756,37.0
500,4,4,0.8887750031499425,49,0.8911899391702549,0.8910026216581103,6.0,0.8899824711600988,39.0
600,3,1,0.8889800507382498,5,0.8913266352265737,0.8911463981351219,4.0,0.8901533429824118,8.0
300,4,2,0.8888091759960791,41,0.8911215911420955,0.8909367356080854,7.0,0.8899653835690873,40.0
200,5,4,0.888826264171062,35,0.8911899391702549,0.8910043413892972,6.0,0.8900081016706585,35.0
300,5,4,0.888826263003119,38,0.8913266352265737,0.8911412706086574,4.0,0.8900764491148463,23.0
