n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank
700,2,1,0.8794620856015372,11
500,2,4,0.8787956584566343,48
400,2,1,0.8795304312938104,3
200,4,3,0.8788127407919017,46
500,5,1,0.8794791714406339,8
800,3,1,0.8794791714406339,8
300,3,1,0.8794620867694802,10
200,4,4,0.8786931270708507,58
100,5,4,0.8788640041489075,40
700,4,4,0.8787614809387254,54
400,5,4,0.8787273057567027,55
200,4,2,0.879257023997913,18
400,3,3,0.8788810981636057,36
300,2,3,0.8788469194777537,43
500,3,4,0.8787956584566343,48
300,4,2,0.8792228453120611,21
400,4,3,0.8788810981636057,36
800,3,3,0.8789665367026342,32
600,3,4,0.8787785702816514,52
100,3,1,0.8794279069156852,14
500,5,2,0.8792057583050211,23
400,4,4,0.8787273057567027,55
500,4,3,0.8788810969956626,38
100,2,4,0.8788640041489075,40
300,2,4,0.8787785714495944,50
100,3,4,0.8788640041489075,40
600,3,1,0.8794962607835599,5
800,2,2,0.8791715842909414,26
300,5,3,0.8788469194777537,43
800,5,2,0.879239934654987,20
100,3,3,0.8790519752416626,31
200,2,2,0.879257023997913,18
400,5,2,0.8791715819550554,28
300,4,1,0.8795133431188275,4
600,5,2,0.8792057594729643,22
800,5,1,0.879479172608577,7
600,5,3,0.8788981851706457,34
300,5,4,0.8787785714495944,50
400,3,1,0.8794962596156168,6
700,5,2,0.8791886736338674,24
600,4,3,0.8788981851706457,34
200,2,1,0.8793253813696169,16
200,4,1,0.8796500438469186,1
800,3,2,0.8791715842909414,26
600,4,1,0.879598782825799,2
200,5,4,0.8786931270708507,58
200,5,2,0.8793082838510895,17
400,2,4,0.8787273057567027,55
500,4,2,0.8791715854588845,25
400,4,2,0.8791544961159585,29
300,4,3,0.8788469194777537,43
700,5,1,0.8794620856015372,11
200,3,1,0.8793937352374916,15
200,2,3,0.8788127407919017,46
400,2,2,0.8791544961159585,29
600,5,4,0.8787785702816514,52
800,2,3,0.8789665367026342,32
700,2,3,0.8788810958277198,39
300,2,1,0.8794620809297649,13
200,3,4,0.8786931270708507,58
