n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
700,2,1,0.8794620856015372,11,0.8761533729751897,0.8755101921657886,4.0,0.8778077292883635,11.0
500,2,4,0.8787956584566343,48,0.8756065887499146,0.8749496242793275,12.0,0.8772011236032744,35.0
400,2,1,0.8795304312938104,3,0.8760166769188709,0.8753813369835272,6.0,0.8777735541063406,13.0
200,4,3,0.8788127407919017,46,0.8758799808625521,0.8752198850613052,8.0,0.877346360827227,28.0
500,5,1,0.8794791714406339,8,0.8762900690315084,0.8756511382890905,2.0,0.8778846202360712,2.0
800,3,1,0.8794791714406339,8,0.8762900690315084,0.8756591444498432,2.0,0.8778846202360712,2.0
300,3,1,0.8794620867694802,10,0.876221721003349,0.8755797250770156,3.0,0.8778419038864147,8.0
200,4,4,0.8786931270708507,58,0.8754698926935958,0.8748001725223643,14.0,0.8770815098822232,40.0
100,5,4,0.8788640041489075,40,0.8755382407217551,0.8748759214009825,13.0,0.8772011224353313,36.0
700,4,4,0.8787614809387254,54,0.8757432848062333,0.8750801268779177,10.0,0.8772523828724794,33.0
400,5,4,0.8787273057567027,55,0.875674936778074,0.8750132980529788,11.0,0.8772011212673883,37.0
200,4,2,0.879257023997913,18,0.875674936778074,0.8750243482693811,11.0,0.8774659803879934,26.0
400,3,3,0.8788810981636057,36,0.875674936778074,0.8750107912111991,11.0,0.8772780174708399,32.0
300,2,3,0.8788469194777537,43,0.8757432848062333,0.875081703844103,10.0,0.8772951021419935,31.0
500,3,4,0.8787956584566343,48,0.8756065887499146,0.8749496242793275,12.0,0.8772011236032744,35.0
300,4,2,0.8792228453120611,21,0.8758116328343927,0.8751677357796086,9.0,0.8775172390732269,22.0
400,4,3,0.8788810981636057,36,0.875674936778074,0.8750107912111991,11.0,0.8772780174708399,32.0
800,3,3,0.8789665367026342,32,0.8757432848062333,0.8750824500584151,10.0,0.8773549107544338,27.0
600,3,4,0.8787785702816514,52,0.8756065887499146,0.8749496242793275,12.0,0.877192579515783,39.0
100,3,1,0.8794279069156852,14,0.876221721003349,0.8755785427148965,3.0,0.8778248139595171,10.0
500,5,2,0.8792057583050211,23,0.8760166769188709,0.875367693005788,6.0,0.8776112176119459,20.0
400,4,4,0.8787273057567027,55,0.875674936778074,0.8750132980529788,11.0,0.8772011212673883,37.0
500,4,3,0.8788810969956626,38,0.8756065887499146,0.8749442748636365,12.0,0.8772438428727887,34.0
100,2,4,0.8788640041489075,40,0.8755382407217551,0.8748759214009825,13.0,0.8772011224353313,36.0
300,2,4,0.8787785714495944,50,0.8756065887499146,0.8749444537244344,12.0,0.8771925800997544,38.0
100,3,4,0.8788640041489075,40,0.8755382407217551,0.8748759214009825,13.0,0.8772011224353313,36.0
600,3,1,0.8794962607835599,5,0.876221721003349,0.8755867722368833,3.0,0.8778589908934544,7.0
800,2,2,0.8791715842909414,26,0.8758116328343927,0.8751621496791436,9.0,0.8774916085626671,24.0
300,5,3,0.8788469194777537,43,0.8757432848062333,0.875081703844103,10.0,0.8772951021419935,31.0
800,5,2,0.879239934654987,20,0.8760166769188709,0.8753630391666594,6.0,0.877628305786929,18.0
100,3,3,0.8790519752416626,31,0.8759483288907115,0.8753012834334654,7.0,0.877500152066187,23.0
200,2,2,0.879257023997913,18,0.875674936778074,0.8750243482693811,11.0,0.8774659803879934,26.0
400,5,2,0.8791715819550554,28,0.8760850249470303,0.875442831093239,5.0,0.8776283034510428,19.0
300,4,1,0.8795133431188275,4,0.8758799808625521,0.8752460074289743,8.0,0.8776966619906899,14.0
600,5,2,0.8792057594729643,22,0.8760850249470303,0.8754374157973157,5.0,0.8776453922099974,15.0
800,5,1,0.879479172608577,7,0.8762900690315084,0.8756538585379561,2.0,0.8778846208200427,1.0
600,5,3,0.8788981851706457,34,0.8757432848062333,0.8750824500584151,10.0,0.8773207349884395,29.0
300,5,4,0.8787785714495944,50,0.8756065887499146,0.8749444537244344,12.0,0.8771925800997544,38.0
400,3,1,0.8794962596156168,6,0.8760850249470303,0.8754498802303015,5.0,0.8777906422813235,12.0
700,5,2,0.8791886736338674,24,0.8760850249470303,0.875429856252515,5.0,0.8776368492904489,16.0
600,4,3,0.8788981851706457,34,0.8757432848062333,0.8750824500584151,10.0,0.8773207349884395,29.0
200,2,1,0.8793253813696169,16,0.8764267650878272,0.8757878603499535,1.0,0.8778760732287221,5.0
200,4,1,0.8796500438469186,1,0.8760850249470303,0.8754559351156816,5.0,0.8778675343969744,6.0
800,3,2,0.8791715842909414,26,0.8758116328343927,0.8751621496791436,9.0,0.8774916085626671,24.0
600,4,1,0.879598782825799,2,0.8761533729751897,0.8755247504282129,4.0,0.8778760779004944,3.0
200,5,4,0.8786931270708507,58,0.8754698926935958,0.8748001725223643,14.0,0.8770815098822232,40.0
200,5,2,0.8793082838510895,17,0.8759483288907115,0.8752972488649973,7.0,0.8776283063709005,17.0
400,2,4,0.8787273057567027,55,0.875674936778074,0.8750132980529788,11.0,0.8772011212673883,37.0
500,4,2,0.8791715854588845,25,0.8760166769188709,0.8753702278740522,6.0,0.8775941311888777,21.0
400,4,2,0.8791544961159585,29,0.8758116328343927,0.8751684627748665,9.0,0.8774830644751757,25.0
300,4,3,0.8788469194777537,43,0.8757432848062333,0.875081703844103,10.0,0.8772951021419935,31.0
700,5,1,0.8794620856015372,11,0.8761533729751897,0.8755167714163897,4.0,0.8778077292883635,11.0
200,3,1,0.8793937352374916,15,0.8762900690315084,0.875646169959257,2.0,0.8778419021345001,9.0
200,2,3,0.8788127407919017,46,0.8758799808625521,0.8752198850613052,8.0,0.877346360827227,28.0
400,2,2,0.8791544961159585,29,0.8758116328343927,0.8751684627748665,9.0,0.8774830644751757,25.0
600,5,4,0.8787785702816514,52,0.8756065887499146,0.8749496242793275,12.0,0.877192579515783,39.0
800,2,3,0.8789665367026342,32,0.8757432848062333,0.8750824500584151,10.0,0.8773549107544338,27.0
700,2,3,0.8788810958277198,39,0.8757432848062333,0.8750824500584151,10.0,0.8773121903169765,30.0
300,2,1,0.8794620809297649,13,0.8762900690315084,0.8756563198641996,2.0,0.8778760749806367,4.0
200,3,4,0.8786931270708507,58,0.8754698926935958,0.8748001725223643,14.0,0.8770815098822232,40.0
