n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank
500,2,4,0.8032160024737969,56
800,4,2,0.8036773785265632,12
800,4,4,0.8035065026164494,25
800,5,4,0.8035065026164494,25
500,3,4,0.8032160024737969,56
400,3,2,0.8034210675812501,36
200,2,4,0.8032672693346317,45
800,3,1,0.8034723356100281,31
300,2,1,0.8038824412981305,3
200,4,1,0.803848253268734,5
400,2,4,0.803233095320552,50
100,5,4,0.803267275174347,42
700,2,4,0.8035577659734552,21
100,2,2,0.803643212688085,16
400,5,3,0.8032330964884951,47
300,2,3,0.8033014503563698,39
500,5,2,0.8037457288906087,8
200,5,1,0.8036773878701078,11
100,5,1,0.8030451370751706,59
700,2,2,0.803865346115489,4
100,5,3,0.8032160153211707,54
500,5,4,0.8032160024737969,56
800,4,3,0.8036602891836372,13
700,2,1,0.803762825241193,6
300,3,1,0.803335632546051,38
100,3,3,0.8032160153211707,54
700,3,1,0.803489423785011,29
500,5,1,0.8039678763333296,1
400,2,3,0.8032330964884951,47
800,4,1,0.803591942323421,19
400,5,4,0.803233095320552,50
200,2,3,0.8035577636375689,23
400,3,4,0.803233095320552,50
400,4,4,0.803233095320552,50
100,3,1,0.8029426173688177,60
500,4,1,0.8037628194014776,7
100,4,4,0.803267275174347,42
100,3,4,0.803267275174347,42
300,3,3,0.8033014503563698,39
600,4,3,0.8035065026164494,25
500,4,3,0.8034552380915008,33
600,4,4,0.8034723262664836,32
800,5,3,0.8036602891836372,13
400,4,3,0.8032330964884951,47
700,4,4,0.8035577659734552,21
500,5,3,0.8034552380915008,33
200,5,4,0.8032672693346317,45
100,4,2,0.803643212688085,16
600,5,3,0.8035065026164494,25
500,2,3,0.8034552380915008,33
400,2,2,0.8034210675812501,36
800,5,2,0.8036944702053752,10
600,5,1,0.8039678728295004,2
300,5,2,0.8034894226170679,30
800,2,3,0.8036602891836372,13
400,5,1,0.8037115607162444,9
200,2,2,0.803284365685216,41
200,5,3,0.8035577636375689,23
700,2,3,0.8035748471407795,20
100,3,2,0.803643212688085,16
