n_estimators,min_samples_split,min_samples_leaf,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
500,2,4,0.8032160024737969,56,0.8032943749572825,0.8027463603923599,8.0,0.8032551887155397,31.0
800,4,2,0.8036773785265632,12,0.8037044631262388,0.8031026644950758,2.0,0.8036909208264009,3.0
800,4,4,0.8035065026164494,25,0.8033627229854419,0.8028556187882427,7.0,0.8034346128009456,16.0
800,5,4,0.8035065026164494,25,0.8033627229854419,0.8028556187882427,7.0,0.8034346128009456,16.0
500,3,4,0.8032160024737969,56,0.8032943749572825,0.8027463603923599,8.0,0.8032551887155397,31.0
400,3,2,0.8034210675812501,36,0.803909507210717,0.8033369145060154,1.0,0.8036652873959835,7.0
200,2,4,0.8032672693346317,45,0.8029526348164856,0.8023974180652234,13.0,0.8031099520755587,35.0
800,3,1,0.8034723356100281,31,0.8033627229854419,0.8027797689868722,7.0,0.803417529297735,18.0
300,2,1,0.8038824412981305,3,0.8032260269291231,0.802625951373064,9.0,0.8035542341136268,11.0
200,4,1,0.803848253268734,5,0.8034994190417607,0.8028990824326382,5.0,0.8036738361552473,5.0
400,2,4,0.803233095320552,50,0.803020982844645,0.802498086088715,12.0,0.8031270390825984,34.0
100,5,4,0.803267275174347,42,0.8024741986193699,0.8019020181468204,16.0,0.8028707368968584,36.0
700,2,4,0.8035577659734552,21,0.8033627229854419,0.8028299878919458,7.0,0.8034602444794485,15.0
100,2,2,0.803643212688085,16,0.8031576789009637,0.8025315839923655,10.0,0.8034004457945243,20.0
400,5,3,0.8032330964884951,47,0.8034994190417607,0.8029250238653586,5.0,0.8033662577651279,22.0
300,2,3,0.8033014503563698,39,0.8033627229854419,0.8028311248538368,7.0,0.8033320866709058,25.0
500,5,2,0.8037457288906087,8,0.8032943749572825,0.8027177254689395,8.0,0.8035200519239456,13.0
200,5,1,0.8036773878701078,11,0.8035677670699201,0.8029183028338092,4.0,0.8036225774700139,8.0
100,5,1,0.8030451370751706,59,0.8037044631262388,0.8029323711606574,2.0,0.8033748001007046,21.0
700,2,2,0.803865346115489,4,0.8034994190417607,0.8029170958513048,5.0,0.8036823825786248,4.0
100,5,3,0.8032160153211707,54,0.8032943749572825,0.8026680905089059,8.0,0.8032551951392266,30.0
