n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
100,5,0.35,0.25,0.8816664496628452,18
200,5,0.25,0.15,0.882042366153608,8
300,3,0.5,0.15,0.8805727994562804,37
300,4,0.25,0.5,0.881068340179582,28
100,5,0.35,0.5,0.8814272047015969,22
200,4,0.3,0.25,0.8818202117032288,13
300,5,0.3,0.35,0.8798892666172486,44
100,5,0.3,0.25,0.8821619880502606,5
500,4,0.25,0.5,0.8798721772743227,45
300,5,0.3,0.25,0.8805728146395404,36
300,5,0.35,0.25,0.8798209431158936,46
400,3,0.35,0.35,0.8805898817915481,35
500,3,0.5,0.25,0.8790690832716777,53
400,5,0.3,0.5,0.8785051583139816,57
400,5,0.35,0.15,0.8791545112992184,52
100,3,0.25,0.15,0.8818202327262037,12
500,3,0.3,0.5,0.8802652158104173,39
500,4,0.3,0.35,0.8790178047314121,56
500,3,0.35,0.35,0.8800772447176621,41
500,4,0.35,0.25,0.879051962394289,55
100,4,0.35,0.15,0.882196157392568,4
400,3,0.25,0.15,0.8821278058605794,6
400,3,0.3,0.25,0.8816322487860749,20
300,3,0.25,0.25,0.881956918271035,11
100,5,0.35,0.15,0.8817518531635817,16
400,3,0.25,0.5,0.8814613810515627,21
100,4,0.25,0.25,0.8823670391423971,3
300,4,0.3,0.25,0.8811367010551151,25
300,3,0.35,0.5,0.8810170838302348,30
200,4,0.5,0.25,0.8799405439895711,43
100,4,0.25,0.5,0.882982194754693,1
300,3,0.35,0.15,0.8820081874677561,9
200,5,0.35,0.5,0.8799747180036508,42
400,3,0.25,0.25,0.8817689518500522,14
100,5,0.25,0.35,0.8817518695147846,15
200,4,0.35,0.35,0.8807436835419957,31
200,3,0.35,0.35,0.8819911039645454,10
500,3,0.3,0.35,0.8806069711344741,34
400,3,0.5,0.25,0.8800943585873925,40
200,5,0.35,0.35,0.8795646146514347,49
300,4,0.3,0.15,0.8813759273292744,23
400,4,0.35,0.35,0.8794620680823912,50
500,5,0.5,0.15,0.8749337717885034,60
500,5,0.25,0.25,0.8797696599038559,47
200,5,0.3,0.35,0.880624079164489,33
300,4,0.35,0.15,0.8810512706916882,29
200,3,0.5,0.25,0.881085447041654,26
300,3,0.5,0.25,0.8806240815003752,32
200,3,0.25,0.5,0.8824353883384997,2
500,5,0.25,0.35,0.879427903411856,51
500,5,0.25,0.5,0.879051963562232,54
400,4,0.5,0.35,0.8778900015337427,58
500,4,0.3,0.25,0.8797525787365313,48
300,4,0.35,0.25,0.8810683576987279,27
200,4,0.3,0.5,0.881222146601802,24
100,5,0.5,0.15,0.8804873387263338,38
300,4,0.25,0.15,0.8817176849892172,17
300,3,0.25,0.35,0.882110707174109,7
100,4,0.25,0.15,0.8816493439687163,19
300,5,0.5,0.15,0.8771210301556825,59
