n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
100,5,0.35,0.25,0.8816664496628452,18,0.880801038890028,0.8782416187208459,24.0,0.8812337442764366,26.0
200,5,0.25,0.15,0.882042366153608,8,0.8816212152279407,0.8790393481077983,15.0,0.8818317906907743,15.0
300,3,0.5,0.15,0.8805727994562804,37,0.8813478231153031,0.8787381971691499,19.0,0.8809603112857918,32.0
300,4,0.25,0.5,0.881068340179582,28,0.8811427790308249,0.8786045144355986,21.0,0.8811055596052035,28.0
100,5,0.35,0.5,0.8814272047015969,22,0.8817579112842594,0.87920833549496,14.0,0.8815925579929281,18.0
200,4,0.3,0.25,0.8818202117032288,13,0.882031303396897,0.8795244769927036,10.0,0.8819257575500629,13.0
300,5,0.3,0.35,0.8798892666172486,44,0.8803226026929123,0.8777195766394571,28.0,0.8801059346550805,41.0
100,5,0.3,0.25,0.8821619880502606,5,0.8827147836784909,0.8801593613019562,4.0,0.8824383858643757,3.0
500,4,0.25,0.5,0.8798721772743227,45,0.8799808625521154,0.8774167444292651,31.0,0.879926519913219,44.0
300,5,0.3,0.25,0.8805728146395404,36,0.8803909507210717,0.8777774565818623,27.0,0.880481882680306,39.0
300,5,0.35,0.25,0.8798209431158936,46,0.8791606862142027,0.876691461731252,35.0,0.8794908146650482,48.0
400,3,0.35,0.35,0.8805898817915481,35,0.8808693869181874,0.8783019435497902,23.0,0.8807296343548677,37.0
500,3,0.5,0.25,0.8790690832716777,53,0.8788872941015652,0.8763484098708618,37.0,0.8789781886866215,56.0
400,5,0.3,0.5,0.8785051583139816,57,0.8784088579044494,0.8759104321510075,39.0,0.8784570081092156,57.0
400,5,0.35,0.15,0.8791545112992184,52,0.8791606862142027,0.8766421791117774,35.0,0.8791575987567106,53.0
100,3,0.25,0.15,0.8818202327262037,12,0.8824413915658533,0.8798077666452623,7.0,0.8821308121460285,12.0
500,3,0.3,0.5,0.8802652158104173,39,0.8801175586084341,0.877544700620796,30.0,0.8801913872094257,40.0
500,4,0.3,0.35,0.8790178047314121,56,0.8797758184676372,0.8772527569260584,33.0,0.8793968115995247,51.0
500,3,0.35,0.35,0.8800772447176621,41,0.8810744310026656,0.8785470803683401,22.0,0.8805758378601638,38.0
500,4,0.35,0.25,0.879051962394289,55,0.8791606862142027,0.876592882485069,35.0,0.8791063243042458,54.0
100,4,0.35,0.15,0.882196157392568,4,0.8826464356503315,0.8800162770117734,5.0,0.8824212965214497,4.0
400,3,0.25,0.15,0.8821278058605794,6,0.8828514797348096,0.8803443335641674,2.0,0.8824896427976945,2.0
400,3,0.3,0.25,0.8816322487860749,20,0.8814845191716218,0.8790085489730486,17.0,0.8815583839788483,20.0
300,3,0.25,0.25,0.881956918271035,11,0.8825097395940127,0.879987566716371,6.0,0.8822333289325238,9.0
100,5,0.35,0.15,0.8817518531635817,16,0.8820996514250564,0.8795436414863952,9.0,0.8819257522943191,14.0
400,3,0.25,0.5,0.8814613810515627,21,0.8817579112842594,0.8792513136723497,14.0,0.881609646167911,17.0
100,4,0.25,0.25,0.8823670391423971,3,0.8819629553687376,0.8793790742126046,11.0,0.8821649972555674,11.0
300,4,0.3,0.25,0.8811367010551151,25,0.8817579112842594,0.8791755908843396,14.0,0.8814473061696873,21.0
300,3,0.35,0.5,0.8810170838302348,30,0.8818262593124189,0.8793416729663426,13.0,0.8814216715713268,22.0
200,4,0.5,0.25,0.8799405439895711,43,0.8791606862142027,0.8765781970344105,35.0,0.8795506151018869,47.0
100,4,0.25,0.5,0.882982194754693,1,0.8831248718474471,0.8805022741812286,1.0,0.8830535333010701,1.0
300,3,0.35,0.15,0.8820081874677561,9,0.8824413915658533,0.8799066505353699,7.0,0.8822247895168047,10.0
200,5,0.35,0.5,0.8799747180036508,42,0.8788189460734058,0.8762519435809761,38.0,0.8793968320385284,50.0
400,3,0.25,0.25,0.8817689518500522,14,0.8813478231153031,0.8788416826143916,19.0,0.8815583874826777,19.0
100,5,0.25,0.35,0.8817518695147846,15,0.8827831317066502,0.880173136840317,3.0,0.8822675006107175,8.0
200,4,0.35,0.35,0.8807436835419957,31,0.8812111270589843,0.8787374051062956,20.0,0.88097740530049,30.0
200,3,0.35,0.35,0.8819911039645454,10,0.8827831317066502,0.8802779326230185,3.0,0.8823871178355978,6.0
500,3,0.3,0.35,0.8806069711344741,34,0.8813478231153031,0.878829862662355,19.0,0.8809773971248887,31.0
400,3,0.5,0.25,0.8800943585873925,40,0.8798441664957966,0.8773135264898945,32.0,0.8799692625415945,43.0
200,5,0.35,0.35,0.8795646146514347,49,0.8805959948055498,0.8779707237507984,25.0,0.8800803047284922,42.0
300,4,0.3,0.15,0.8813759273292744,23,0.8814161711434625,0.8788276315279825,18.0,0.8813960492363684,23.0
400,4,0.35,0.35,0.8794620680823912,50,0.8797758184676372,0.8771850992792544,33.0,0.8796189432750142,46.0
500,5,0.5,0.15,0.8749337717885034,60,0.8755382407217551,0.8730038929460021,42.0,0.8752360062551292,60.0
500,5,0.25,0.25,0.8797696599038559,47,0.8789556421297245,0.8764641561084769,36.0,0.8793626510167902,52.0
200,5,0.3,0.35,0.880624079164489,33,0.8815528671997813,0.8789897168423635,16.0,0.8810884731821351,29.0
300,4,0.35,0.15,0.8810512706916882,29,0.8812111270589843,0.8786780774670542,20.0,0.8811311988753363,27.0
200,3,0.5,0.25,0.881085447041654,26,0.880801038890028,0.8782429655438038,24.0,0.880943242965841,33.0
300,3,0.5,0.25,0.8806240815003752,32,0.8808693869181874,0.8783318253770994,23.0,0.8807467342092813,36.0
200,3,0.25,0.5,0.8824353883384997,2,0.882373043537694,0.8798167834301331,8.0,0.8824042159380968,5.0
500,5,0.25,0.35,0.879427903411856,51,0.8802542546647529,0.8776769173078774,29.0,0.8798410790383044,45.0
500,5,0.25,0.5,0.879051963562232,54,0.8789556421297245,0.8764265588447903,36.0,0.8790038028459783,55.0
400,4,0.5,0.35,0.8778900015337427,58,0.8776570295946962,0.8751165965893821,40.0,0.8777735155642195,58.0
500,4,0.3,0.25,0.8797525787365313,48,0.8792290342423621,0.876696274749727,34.0,0.8794908064894467,49.0
300,4,0.35,0.25,0.8810683576987279,27,0.8805276467773905,0.8779596272882465,26.0,0.8807980022380593,35.0
200,4,0.3,0.5,0.881222146601802,24,0.8815528671997813,0.8790340490165337,16.0,0.8813875069007917,24.0
