n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
200,3,0.35,0.35,0.8862801996790212,13
100,4,0.3,0.5,0.8863656347142205,9
400,5,0.3,0.35,0.882862620743706,48
300,5,0.35,0.15,0.8834778020507492,46
300,3,0.25,0.5,0.8864681614282317,7
300,4,0.35,0.25,0.8842809205801986,40
200,5,0.25,0.15,0.8856308607091012,23
300,4,0.25,0.5,0.8856479582276285,21
100,4,0.25,0.5,0.8865877809889983,4
500,5,0.5,0.15,0.8764205119206576,57
100,5,0.35,0.25,0.8856650428987822,20
400,4,0.25,0.35,0.8853403710779362,28
100,3,0.25,0.25,0.8866903123747819,1
300,5,0.3,0.35,0.8840075121163581,43
300,5,0.3,0.25,0.8841100411662557,42
400,4,0.3,0.5,0.8842980169307829,39
200,5,0.3,0.15,0.8850498697673406,33
400,5,0.5,0.35,0.8754464917863469,58
200,3,0.25,0.5,0.8866390478498332,2
200,4,0.5,0.15,0.8845543313799252,37
300,3,0.3,0.15,0.8863485570507251,10
200,3,0.3,0.5,0.8863143736931008,12
500,5,0.5,0.35,0.8731737995519115,60
400,5,0.35,0.5,0.8797868169874796,54
500,5,0.5,0.25,0.8736180734143784,59
200,4,0.3,0.15,0.8860409710689757,16
100,4,0.5,0.25,0.8853916309311127,27
200,4,0.5,0.35,0.8842809042289957,41
500,4,0.25,0.25,0.885118218963443,30
300,3,0.25,0.15,0.8865536081428617,5
100,3,0.25,0.15,0.8866048726678104,3
200,4,0.3,0.25,0.8858530058159361,19
500,3,0.25,0.15,0.886126404936232,14
300,5,0.35,0.35,0.8825721381201994,49
500,5,0.3,0.5,0.8813247083541051,51
200,4,0.3,0.5,0.8856137725341182,24
400,4,0.35,0.35,0.8834948867219029,45
500,4,0.25,0.35,0.885084055460851,31
100,4,0.5,0.5,0.885118235314646,29
500,3,0.25,0.35,0.8859384373473059,18
100,3,0.35,0.5,0.8865536081428617,5
400,5,0.25,0.25,0.8845714183869651,36
100,3,0.5,0.25,0.8861093155933059,15
400,5,0.25,0.15,0.884639760575409,35
400,3,0.35,0.25,0.8854599871348735,25
200,4,0.35,0.25,0.8850498709352836,32
500,5,0.35,0.5,0.8789153364145541,55
300,4,0.25,0.25,0.88598970771197,17
400,3,0.5,0.15,0.8849815404262702,34
100,4,0.3,0.35,0.8863656382180497,8
400,5,0.3,0.25,0.8825721357843133,50
100,4,0.3,0.25,0.8863314630360268,11
300,5,0.3,0.15,0.8844518105056292,38
100,5,0.5,0.5,0.883477781027774,47
400,4,0.3,0.15,0.8853916402746573,26
300,5,0.5,0.35,0.8773090654853063,56
400,4,0.5,0.25,0.8812050981368833,52
400,3,0.5,0.5,0.8835290584000964,44
300,3,0.35,0.5,0.8856479512199702,22
300,4,0.5,0.5,0.8802994493895933,53
