n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
200,3,0.35,0.35,0.8862801996790212,13,0.8836033080445629,0.8834368039761479,9.0,0.8849417538617921,14.0
100,4,0.3,0.5,0.8863656347142205,9,0.8840817442416786,0.8839152224823245,3.0,0.8852236894779495,7.0
400,5,0.3,0.35,0.882862620743706,48,0.8804592987492311,0.8803122382009247,31.0,0.8816609597464686,49.0
300,5,0.35,0.15,0.8834778020507492,46,0.8821679994532158,0.8820029937841731,25.0,0.8828229007519826,43.0
300,3,0.25,0.5,0.8864681614282317,7,0.8837400041008817,0.8835751005741915,7.0,0.8851040827645567,10.0
300,4,0.35,0.25,0.8842809205801986,40,0.8831932198756066,0.8830331428001552,14.0,0.8837370702279026,36.0
200,5,0.25,0.15,0.8856308607091012,23,0.8834666119882442,0.883301320681362,11.0,0.8845487363486727,19.0
300,4,0.25,0.5,0.8856479582276285,21,0.882578087622172,0.8824178664593855,20.0,0.8841130229249003,30.0
100,4,0.25,0.5,0.8865877809889983,4,0.8842184402979975,0.8840521149086427,1.0,0.8854031106434979,3.0
500,5,0.5,0.15,0.8764205119206576,57,0.8741712801585674,0.8740292661264825,38.0,0.8752958960396124,57.0
100,5,0.35,0.25,0.8856650428987822,20,0.8833982639600848,0.8832363791322465,12.0,0.8845316534294335,20.0
400,4,0.25,0.35,0.8853403710779362,28,0.8830565238192878,0.8828934640191748,16.0,0.884198447448612,25.0
100,3,0.25,0.25,0.8866903123747819,1,0.884150092269838,0.8839787261280504,2.0,0.8854202023223099,1.0
300,5,0.3,0.35,0.8840075121163581,43,0.8812794750871438,0.8811265657218142,29.0,0.8826434936017509,45.0
300,5,0.3,0.25,0.8841100411662557,42,0.8823046955095345,0.8821524205985682,23.0,0.8832073683378951,40.0
400,4,0.3,0.5,0.8842980169307829,39,0.8818262593124189,0.8816740541928709,27.0,0.8830621381216008,41.0
200,5,0.3,0.15,0.8850498697673406,33,0.8828514797348096,0.8826874311752161,18.0,0.883950674751075,32.0
400,5,0.5,0.35,0.8754464917863469,58,0.8736244959332923,0.8734874457083334,39.0,0.8745354938598195,58.0
200,3,0.25,0.5,0.8866390478498332,2,0.8838767001572004,0.8837091794085646,5.0,0.8852578740035169,5.0
200,4,0.5,0.15,0.8845543313799252,37,0.8823046955095345,0.8821441013056239,23.0,0.8834295134447299,38.0
300,3,0.3,0.15,0.8863485570507251,10,0.8840817442416786,0.8839166255564426,3.0,0.8852151506462018,8.0
200,3,0.3,0.5,0.8863143736931008,12,0.8836716560727224,0.8835087560444679,8.0,0.8849930148829116,13.0
500,5,0.5,0.35,0.8731737995519115,60,0.8705488346661199,0.8704203362291778,41.0,0.8718613171090157,60.0
400,5,0.35,0.5,0.8797868169874796,54,0.876905201284943,0.8767730562168067,35.0,0.8783460091362113,54.0
500,5,0.5,0.25,0.8736180734143784,59,0.8734877998769736,0.8733615449947485,40.0,0.873552936645676,59.0
200,4,0.3,0.15,0.8860409710689757,16,0.8837400041008817,0.8835694540427912,7.0,0.8848904875849287,16.0
100,4,0.5,0.25,0.8853916309311127,27,0.8833299159319253,0.883160187555474,13.0,0.8843607734315191,23.0
200,4,0.5,0.35,0.8842809042289957,41,0.8810060829745062,0.8808664557130038,30.0,0.882643493601751,44.0
500,4,0.25,0.25,0.885118218963443,30,0.8831932198756066,0.8830372976806034,14.0,0.8841557194195249,28.0
300,3,0.25,0.15,0.8865536081428617,5,0.8836716560727224,0.8835045452033705,8.0,0.885112632107792,9.0
100,3,0.25,0.15,0.8866048726678104,3,0.8842184402979975,0.8840464651878188,1.0,0.885411656482904,2.0
200,4,0.3,0.25,0.8858530058159361,19,0.8838083521290411,0.8836400268269736,6.0,0.8848306789724886,17.0
500,3,0.25,0.15,0.886126404936232,14,0.8836716560727224,0.8835059532411941,8.0,0.8848990305044772,15.0
300,5,0.35,0.35,0.8825721381201994,49,0.8800492105802747,0.8798975018808418,32.0,0.881310674350237,50.0
500,5,0.3,0.5,0.8813247083541051,51,0.8792290342423621,0.8790859586478099,34.0,0.8802768712982336,52.0
200,4,0.3,0.5,0.8856137725341182,24,0.8828514797348096,0.8826888357753053,18.0,0.884232626134464,24.0
