n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
300,3,0.25,0.35,0.877138147529242,12
400,4,0.35,0.5,0.8740110745762948,49
300,5,0.25,0.35,0.8758565647720434,31
300,5,0.35,0.5,0.873207949039187,53
100,3,0.5,0.15,0.877172325047151,11
200,4,0.5,0.35,0.8745408044969359,45
500,4,0.25,0.25,0.8755318684243929,35
400,3,0.5,0.35,0.8746262325244767,43
300,3,0.5,0.15,0.8756685831678008,33
400,3,0.5,0.5,0.873600959544648,51
300,4,0.35,0.15,0.8757027618536528,32
400,4,0.3,0.35,0.8747800377787536,42
300,4,0.35,0.35,0.875412278062203,36
400,3,0.35,0.15,0.8761983119204988,26
200,3,0.35,0.15,0.8773944654822134,7
500,3,0.35,0.35,0.8753097268213873,37
500,3,0.25,0.15,0.876796385197527,17
500,5,0.3,0.5,0.8728149058313202,55
100,3,0.35,0.25,0.8772235813964984,10
300,4,0.35,0.5,0.8751901411309697,41
300,4,0.35,0.25,0.8759761749892655,28
400,3,0.25,0.35,0.8767280208181647,18
400,3,0.3,0.25,0.8763349962973869,25
400,5,0.25,0.35,0.8752243209847648,39
200,5,0.35,0.5,0.874489537636101,47
300,3,0.25,0.15,0.8775482730723766,5
100,3,0.35,0.15,0.8769501857800316,14
500,4,0.5,0.35,0.8704738772481562,59
400,5,0.25,0.25,0.8756173279863966,34
500,4,0.25,0.35,0.8758736576187985,30
100,3,0.3,0.5,0.8774798876700391,6
200,4,0.25,0.25,0.8776166012455039,4
200,5,0.5,0.5,0.8730370754649592,54
300,3,0.35,0.15,0.8768989200871398,16
300,4,0.3,0.25,0.8764546392170147,23
300,5,0.5,0.5,0.8719434532890281,56
500,3,0.25,0.25,0.876352104327402,24
500,3,0.5,0.25,0.8738060036291261,50
500,3,0.3,0.15,0.8764888097272652,22
100,3,0.35,0.5,0.87778746664413,1
300,4,0.25,0.25,0.8766938573155726,19
100,3,0.35,0.35,0.8777532973018226,3
500,5,0.25,0.15,0.8752414033200323,38
400,5,0.25,0.5,0.8745237233296115,46
100,4,0.25,0.35,0.877753303141538,2
200,5,0.35,0.15,0.8759590961578271,29
200,3,0.3,0.35,0.8773261092784528,9
300,5,0.5,0.35,0.8713795189877876,57
500,5,0.5,0.5,0.8685258580025099,60
500,5,0.3,0.35,0.8733959142922267,52
300,4,0.25,0.5,0.8759932655001345,27
100,4,0.5,0.35,0.8766084386315762,20
200,5,0.35,0.35,0.8752072328097819,40
100,5,0.3,0.25,0.8769501705967716,15
100,4,0.5,0.15,0.876505896734305,21
500,4,0.35,0.25,0.8740110757442379,48
300,3,0.3,0.15,0.8773431986213787,8
100,3,0.3,0.25,0.8770697971651966,13
400,3,0.5,0.25,0.874574949312439,44
500,4,0.5,0.5,0.870781455054304,58
