n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
300,3,0.25,0.35,0.877138147529242,12,0.8754015446654364,0.8749443596652956,8.0,0.8762698460973393,11.0
400,4,0.35,0.5,0.8740110745762948,49,0.8732827557924954,0.8727013047262876,27.0,0.8736469151843951,46.0
300,5,0.25,0.35,0.8758565647720434,31,0.8742396281867268,0.8737322490434584,19.0,0.8750480964793852,30.0
300,5,0.35,0.5,0.873207949039187,53,0.8721208393137858,0.8715434156354366,34.0,0.8726643941764864,52.0
100,3,0.5,0.15,0.877172325047151,11,0.8745130202993644,0.8740138378705727,17.0,0.8758426726732578,18.0
200,4,0.5,0.35,0.8745408044969359,45,0.872325883398264,0.8717416395281101,33.0,0.8734333439476,49.0
500,4,0.25,0.25,0.8755318684243929,35,0.8734194518488142,0.8728672474950578,25.0,0.8744756601366035,35.0
400,3,0.5,0.35,0.8746262325244767,43,0.8737611919896111,0.8732295775446614,23.0,0.8741937122570439,43.0
300,3,0.5,0.15,0.8756685831678008,33,0.8748547604401613,0.8743452127475113,14.0,0.8752616718039811,28.0
400,3,0.5,0.5,0.873600959544648,51,0.8728043195953796,0.872218069845907,32.0,0.8732026395700139,50.0
300,4,0.35,0.15,0.8757027618536528,32,0.8741712801585674,0.8736273324577838,20.0,0.87493702100611,33.0
400,4,0.3,0.35,0.8747800377787536,42,0.874102932130408,0.873577341601777,21.0,0.8744414849545807,37.0
300,4,0.35,0.35,0.875412278062203,36,0.8731460597361766,0.8726309836385916,28.0,0.8742791688991898,41.0
400,3,0.35,0.15,0.8761983119204988,26,0.8749231084683207,0.8744232622500653,13.0,0.8755607101944097,25.0
200,3,0.35,0.15,0.8773944654822134,7,0.8752648486091176,0.8747718115520196,10.0,0.8763296570456656,8.0
500,3,0.35,0.35,0.8753097268213873,37,0.8735561479051329,0.8730243160135628,24.0,0.8744329373632601,38.0
500,3,0.25,0.15,0.876796385197527,17,0.8752648486091176,0.8747675074758408,10.0,0.8760306169033223,15.0
500,5,0.3,0.5,0.8728149058313202,55,0.869318570159251,0.8687755071980148,38.0,0.8710667379952856,55.0
100,3,0.35,0.25,0.8772235813964984,10,0.875674936778074,0.8751883044362844,4.0,0.8764492590872861,5.0
300,4,0.35,0.5,0.8751901411309697,41,0.8732827557924954,0.8727373415252141,27.0,0.8742364484617325,42.0
300,4,0.35,0.25,0.8759761749892655,28,0.874102932130408,0.8735922436410207,21.0,0.8750395535598368,31.0
400,3,0.25,0.35,0.8767280208181647,18,0.8747180643838425,0.8742479719892488,15.0,0.8757230426010036,22.0
400,3,0.3,0.25,0.8763349962973869,25,0.8751965005809582,0.8746791375680093,11.0,0.8757657484391725,20.0
400,5,0.25,0.35,0.8752243209847648,39,0.8737611919896111,0.87327226756253,23.0,0.8744927564871879,34.0
200,5,0.35,0.5,0.874489537636101,47,0.8743763242430456,0.8738312576645069,18.0,0.8744329309395733,39.0
300,3,0.25,0.15,0.8775482730723766,5,0.8758799808625521,0.8754082822538157,2.0,0.8767141269674643,1.0
100,3,0.35,0.15,0.8769501857800316,14,0.875333196637277,0.8748350139144447,9.0,0.8761416912086544,13.0
500,4,0.5,0.35,0.8704738772481562,59,0.8681566536805413,0.8675847414685842,41.0,0.8693152654643488,59.0
400,5,0.25,0.25,0.8756173279863966,34,0.8732827557924954,0.8727533853669546,27.0,0.874450041889446,36.0
500,4,0.25,0.35,0.8758736576187985,30,0.8742396281867268,0.8737442802409249,19.0,0.8750566429027626,29.0
100,3,0.3,0.5,0.8774798876700391,6,0.8754015446654364,0.8749400692549661,8.0,0.8764407161677378,7.0
200,4,0.25,0.25,0.8776166012455039,4,0.8757432848062333,0.8752627362912572,3.0,0.8766799430258686,2.0
200,5,0.5,0.5,0.8730370754649592,54,0.8702754425534823,0.8697145701205581,37.0,0.8716562590092207,54.0
300,3,0.35,0.15,0.8768989200871398,16,0.8752648486091176,0.8747587845214987,10.0,0.8760818843481286,14.0
300,4,0.3,0.25,0.8764546392170147,23,0.8745130202993644,0.8740080337295891,17.0,0.8754838297581895,26.0
300,5,0.5,0.5,0.8719434532890281,56,0.869318570159251,0.8687273687467915,38.0,0.8706310117241396,56.0
500,3,0.25,0.25,0.876352104327402,24,0.8754698926935958,0.874946746689063,7.0,0.8759109985104989,17.0
500,3,0.5,0.25,0.8738060036291261,50,0.8732827557924954,0.8727675003645614,27.0,0.8735443797108107,47.0
500,3,0.3,0.15,0.8764888097272652,22,0.8746497163556831,0.8741438636358165,16.0,0.8755692630414742,24.0
100,3,0.35,0.5,0.87778746664413,1,0.8747180643838425,0.8742357559385795,15.0,0.8762527655139862,12.0
300,4,0.25,0.25,0.8766938573155726,19,0.8751965005809582,0.8746786731387882,11.0,0.8759451789482654,16.0
100,3,0.35,0.35,0.8777532973018226,3,0.8755382407217551,0.8751063891909396,6.0,0.8766457690117888,3.0
500,5,0.25,0.15,0.8752414033200323,38,0.8733511038206547,0.8728490620935497,26.0,0.8742962535703436,40.0
400,5,0.25,0.5,0.8745237233296115,46,0.8717107511448294,0.8711998900627268,35.0,0.8731172372372205,51.0
100,4,0.25,0.35,0.877753303141538,2,0.8751281525527989,0.8746807617941823,12.0,0.8764407278471684,6.0
200,5,0.35,0.15,0.8759590961578271,29,0.874102932130408,0.8735836038556641,21.0,0.8750310141441175,32.0
200,3,0.3,0.35,0.8773261092784528,9,0.8742396281867268,0.8737808577198591,19.0,0.8757828687325898,19.0
300,5,0.5,0.35,0.8713795189877876,57,0.8687717859339759,0.8681773299659468,40.0,0.8700756524608817,57.0
500,5,0.5,0.5,0.8685258580025099,60,0.8661745608639191,0.8655612400531771,42.0,0.8673502094332145,60.0
500,5,0.3,0.35,0.8733959142922267,52,0.8709589228350763,0.8704392265674546,36.0,0.8721774185636515,53.0
300,4,0.25,0.5,0.8759932655001345,27,0.8752648486091176,0.874747616837601,10.0,0.875629057054626,23.0
100,4,0.5,0.35,0.8766084386315762,20,0.8748547604401613,0.8743752680969105,14.0,0.8757315995358688,21.0
200,5,0.35,0.35,0.8752072328097819,40,0.8730093636798578,0.8725171231320056,30.0,0.8741082982448198,44.0
100,5,0.3,0.25,0.8769501705967716,15,0.8756065887499146,0.8751061149929954,5.0,0.8762783796733431,9.0
100,4,0.5,0.15,0.876505896734305,21,0.8740345841022487,0.8735352079908723,22.0,0.8752702404182768,27.0
500,4,0.35,0.25,0.8740110757442379,48,0.8729410156516985,0.8724245041824878,31.0,0.8734760456979682,48.0
300,3,0.3,0.15,0.8773431986213787,8,0.8751965005809582,0.8747101147787623,11.0,0.8762698496011685,10.0
100,3,0.3,0.25,0.8770697971651966,13,0.8759483288907115,0.8754883922970279,1.0,0.8765090630279541,4.0
400,3,0.5,0.25,0.874574949312439,44,0.8730777117080172,0.8725611543595674,29.0,0.8738263305102281,45.0
500,4,0.5,0.5,0.870781455054304,58,0.8690451780466134,0.8684252393287478,39.0,0.8699133165504587,58.0
