n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
100,5,0.5,0.35,0.9068539757692926,36
100,5,0.3,0.15,0.9074349889019715,28
300,5,0.3,0.35,0.9065976508086627,40
200,4,0.35,0.25,0.9076400259787912,25
300,5,0.5,0.35,0.9033167737693816,57
300,3,0.3,0.25,0.9082210332717547,10
100,4,0.5,0.25,0.9080159669963582,15
500,3,0.25,0.25,0.9080159669963583,14
400,4,0.25,0.15,0.9078280087509769,21
100,5,0.3,0.25,0.9084773337055801,6
400,5,0.5,0.25,0.9021377247338526,59
100,5,0.25,0.5,0.908272290789045,8
300,4,0.5,0.5,0.9044275098150432,53
400,4,0.35,0.5,0.9060850370936382,42
300,4,0.35,0.25,0.9068881626307459,35
100,5,0.35,0.5,0.907708382182552,23
200,4,0.25,0.25,0.9081868534179597,12
200,5,0.35,0.35,0.9067001962097632,38
100,3,0.5,0.35,0.9089728814365401,1
400,5,0.3,0.35,0.9058628732997144,43
500,4,0.5,0.25,0.9027870601999434,58
200,3,0.3,0.15,0.9081868545859026,11
500,3,0.35,0.25,0.9074520583898653,27
200,4,0.25,0.5,0.9079476119605405,19
500,5,0.5,0.5,0.9008732161363201,60
500,4,0.35,0.5,0.9050597500984927,51
500,3,0.5,0.35,0.9057090914042987,46
500,5,0.25,0.25,0.9056578163678626,48
200,5,0.5,0.5,0.9041711836864703,55
200,3,0.5,0.35,0.9079647013034665,18
400,5,0.35,0.15,0.9057090925722417,45
100,3,0.5,0.15,0.9079305342970452,20
500,4,0.35,0.25,0.9049913985665041,52
400,4,0.35,0.15,0.9066318481816037,39
100,5,0.35,0.25,0.9079647071431818,17
400,3,0.3,0.15,0.907708382182552,23
500,5,0.3,0.35,0.9051793603157148,50
400,5,0.25,0.15,0.9067856312449624,37
400,4,0.25,0.5,0.9070248645267801,34
200,3,0.5,0.5,0.9072641071521422,30
200,4,0.5,0.35,0.9065976461368904,41
400,3,0.35,0.15,0.9080159705001876,13
200,4,0.35,0.5,0.9074178948872732,29
100,4,0.35,0.5,0.9086994893239025,2
200,3,0.3,0.35,0.9086994881559595,3
300,3,0.25,0.25,0.9085115229029197,5
200,4,0.25,0.35,0.9083235564819369,7
300,4,0.5,0.15,0.9056407515517408,49
300,3,0.25,0.5,0.9082551956064037,9
500,4,0.5,0.15,0.9036072844235219,56
100,5,0.35,0.15,0.9076058764915158,26
400,4,0.25,0.35,0.9072299261304042,31
200,5,0.35,0.15,0.9071786744528292,33
100,5,0.5,0.15,0.9072128461310227,32
300,3,0.25,0.35,0.9086140414413296,4
500,3,0.25,0.15,0.9077938242254096,22
100,4,0.5,0.5,0.9080159599886999,16
500,4,0.35,0.15,0.9057261807472248,44
500,5,0.3,0.5,0.9044104017850281,54
400,4,0.35,0.35,0.9056578245434639,47
