n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
100,5,0.5,0.35,0.9068539757692926,36,0.907593465928508,0.9082026407723592,12.0,0.9072237208489002,31.0
100,5,0.3,0.15,0.9074349889019715,28,0.9081402501537831,0.9088882135767716,7.0,0.9077876195278773,21.0
300,5,0.3,0.35,0.9065976508086627,40,0.906704941562436,0.9072738451275817,21.0,0.9066512961855493,37.0
200,4,0.35,0.25,0.9076400259787912,25,0.9074567698721892,0.9081154326445827,13.0,0.9075483979254901,24.0
300,5,0.5,0.35,0.9033167737693816,57,0.9041077164923792,0.9045967953787687,36.0,0.9037122451308803,57.0
300,3,0.3,0.25,0.9082210332717547,10,0.9087553824072175,0.9094518222194562,2.0,0.9084882078394861,2.0
100,4,0.5,0.25,0.9080159669963582,15,0.9082769462101018,0.9089876246112191,5.0,0.90814645660323,12.0
500,3,0.25,0.25,0.9080159669963583,14,0.907593465928508,0.9082522642211911,12.0,0.9078047164624332,19.0
400,4,0.25,0.15,0.9078280087509769,21,0.9068416376187547,0.9074870258281611,19.0,0.9073348231848658,30.0
100,5,0.3,0.25,0.9084773337055801,6,0.9088237304353769,0.9095429480751895,1.0,0.9086505320704785,1.0
400,5,0.5,0.25,0.9021377247338526,59,0.9021939717039164,0.9025702956133722,38.0,0.9021658482188845,59.0
100,5,0.25,0.5,0.908272290789045,8,0.9085503383227393,0.9092569193120161,3.0,0.9084113145558922,7.0
300,4,0.5,0.5,0.9044275098150432,53,0.9046545007176543,0.9051241479350988,34.0,0.9045410052663487,55.0
400,4,0.35,0.5,0.9060850370936382,42,0.905474677055567,0.9059925802576465,29.0,0.9057798570746025,46.0
300,4,0.35,0.25,0.9068881626307459,35,0.9060898093090014,0.9066782818018798,25.0,0.9064889859698737,41.0
100,5,0.35,0.5,0.907708382182552,23,0.9070466817032329,0.9076940311886498,16.0,0.9073775319428925,29.0
200,4,0.25,0.25,0.9081868534179597,12,0.9087553824072175,0.9094708842254116,2.0,0.9084711179125886,3.0
200,5,0.35,0.35,0.9067001962097632,38,0.9068416376187547,0.9074191051855316,19.0,0.9067709169142589,36.0
100,3,0.5,0.35,0.9089728814365401,1,0.9076618139566673,0.908413410620301,11.0,0.9083173476966038,8.0
400,5,0.3,0.35,0.9058628732997144,43,0.9055430250837263,0.9060567808955101,28.0,0.9057029491917203,47.0
500,4,0.5,0.25,0.9027870601999434,58,0.9034242362107853,0.903897837845441,37.0,0.9031056482053643,58.0
200,3,0.3,0.15,0.9081868545859026,11,0.9079352060693049,0.9087228020190664,9.0,0.9080610303276038,14.0
500,3,0.35,0.25,0.9074520583898653,27,0.9073200738158704,0.9079294639761352,14.0,0.9073860661028679,28.0
200,4,0.25,0.5,0.9079476119605405,19,0.9079352060693049,0.9086216148929523,9.0,0.9079414090149227,17.0
500,5,0.5,0.5,0.9008732161363201,60,0.9005536190280911,0.9008288422946896,39.0,0.9007134175822056,60.0
500,4,0.35,0.5,0.9050597500984927,51,0.9052012849429294,0.9056995027917432,32.0,0.905130517520711,52.0
500,3,0.5,0.35,0.9057090914042987,46,0.9065682455061171,0.9071720171388306,22.0,0.906138668455208,43.0
500,5,0.25,0.25,0.9056578163678626,48,0.9069783336750735,0.9075462252241435,17.0,0.9063180750214681,42.0
200,5,0.5,0.5,0.9041711836864703,55,0.9050645888866106,0.9055128416191419,33.0,0.9046178862865404,54.0
200,3,0.5,0.35,0.9079647013034665,18,0.907593465928508,0.9082482276915363,12.0,0.9077790836159872,22.0
400,5,0.35,0.15,0.9057090925722417,45,0.9055430250837263,0.9060929533842301,28.0,0.9056260588279841,48.0
100,3,0.5,0.15,0.9079305342970452,20,0.9081402501537831,0.9089232422674617,7.0,0.9080353922254141,15.0
500,4,0.35,0.25,0.9049913985665041,52,0.9059531132526827,0.9065073144575548,26.0,0.9054722559095933,49.0
400,4,0.35,0.15,0.9066318481816037,39,0.9064998974779578,0.9070637876793654,23.0,0.9065658728297807,39.0
100,5,0.35,0.25,0.9079647071431818,17,0.9082769462101018,0.9089438551851529,5.0,0.9081208266766418,13.0
400,3,0.3,0.15,0.907708382182552,23,0.9078668580411455,0.908600393824894,10.0,0.9077876201118488,20.0
500,5,0.3,0.35,0.9051793603157148,50,0.9052012849429294,0.9056933924167303,32.0,0.9051903226293221,51.0
400,5,0.25,0.15,0.9067856312449624,37,0.9064998974779578,0.9070727814857198,23.0,0.9066427643614601,38.0
400,4,0.25,0.5,0.9070248645267801,34,0.9068416376187547,0.9074389215859902,19.0,0.9069332510727675,35.0
200,3,0.5,0.5,0.9072641071521422,30,0.9070466817032329,0.9076923868196246,16.0,0.9071553944276876,32.0
200,4,0.5,0.35,0.9065976461368904,41,0.9064998974779578,0.9071048141765891,23.0,0.9065487718074241,40.0
400,3,0.35,0.15,0.9080159705001876,13,0.9072517257877111,0.9079500183481434,15.0,0.9076338481439493,23.0
200,4,0.35,0.5,0.9074178948872732,29,0.907593465928508,0.9082337093315287,12.0,0.9075056804078906,25.0
