n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
100,3,0.25,0.25,0.8885015900143297,6
200,5,0.3,0.25,0.8869978855091576,33
500,3,0.3,0.25,0.8877326583463337,23
500,3,0.3,0.15,0.8879035342564475,20
500,5,0.35,0.15,0.8823841226456078,57
200,3,0.25,0.25,0.8887066527858969,3
100,5,0.3,0.25,0.8879377187820148,16
400,4,0.3,0.35,0.885870077639716,43
400,4,0.35,0.25,0.8857162899045852,44
100,3,0.3,0.35,0.88870665395384,2
500,3,0.35,0.5,0.8865877599660231,36
500,4,0.25,0.15,0.8872712694461936,28
300,5,0.5,0.5,0.8785222873669718,59
200,3,0.35,0.5,0.887920615423772,19
500,5,0.25,0.5,0.8836999202948934,55
400,5,0.3,0.35,0.8840758356177132,54
400,4,0.3,0.15,0.8870149573329376,32
500,4,0.3,0.5,0.8850327792564716,49
400,4,0.3,0.5,0.8857162887366421,45
500,4,0.35,0.15,0.8862118329637728,38
200,4,0.5,0.15,0.8855624951617959,46
300,4,0.35,0.35,0.8859384350114199,40
200,4,0.5,0.35,0.885169451953929,47
400,3,0.35,0.15,0.8879377141102425,17
300,4,0.5,0.15,0.8841612788285139,53
500,5,0.5,0.35,0.8748825586530495,60
300,4,0.3,0.5,0.8865535952954879,37
300,3,0.35,0.35,0.8872371164550892,29
200,3,0.5,0.35,0.8866390128115412,35
500,3,0.25,0.25,0.8880060609704588,15
400,5,0.35,0.35,0.8817348292254674,58
100,4,0.3,0.5,0.8883990761476921,9
200,5,0.35,0.5,0.885015660714969,50
200,4,0.3,0.5,0.8876472139675899,25
100,5,0.5,0.5,0.8851353223216858,48
300,5,0.35,0.15,0.8847080782370488,51
100,5,0.25,0.35,0.8880914983415442,14
200,5,0.25,0.25,0.8874763403933623,26
500,3,0.5,0.15,0.8859042703408848,42
100,4,0.25,0.35,0.8883990796515213,8
100,3,0.25,0.5,0.8889117097177488,1
400,4,0.35,0.15,0.8866561220094993,34
400,3,0.25,0.15,0.8881940203837833,13
300,3,0.25,0.5,0.888638311765396,5
200,5,0.5,0.15,0.8836315594193604,56
300,3,0.3,0.25,0.888194032063214,12
300,4,0.25,0.15,0.8879377071025841,18
200,5,0.25,0.5,0.8871687544116129,30
200,5,0.3,0.5,0.8859384163243309,41
100,3,0.35,0.25,0.8883136282651192,10
400,5,0.25,0.15,0.8861434907753287,39
500,3,0.3,0.5,0.8873396396652713,27
500,3,0.5,0.25,0.884588490210745,52
300,3,0.5,0.15,0.8870833322237874,31
200,3,0.35,0.15,0.8884503523520715,7
100,4,0.25,0.5,0.8886724834435895,4
400,3,0.3,0.5,0.8876984773245957,24
300,3,0.25,0.15,0.8882623660760565,11
100,4,0.35,0.15,0.8878522627238403,22
400,3,0.3,0.25,0.8878864495852937,21
