n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
100,3,0.25,0.25,0.8885015900143297,6,0.8915316793110519,0.8913231672300681,3.0,0.8900166346626908,2.0
200,5,0.3,0.25,0.8869978855091576,33,0.8906431549449798,0.8904566245118564,14.0,0.8888205202270687,32.0
500,3,0.3,0.25,0.8877326583463337,23,0.8905064588886611,0.8903196952924962,16.0,0.8891195586174974,26.0
500,3,0.3,0.15,0.8879035342564475,20,0.8911215911420955,0.8909332939851123,8.0,0.8895125626992715,18.0
500,5,0.35,0.15,0.8823841226456078,57,0.8872941015651699,0.887132327188919,32.0,0.8848391121053889,57.0
200,3,0.25,0.25,0.8887066527858969,3,0.8911899391702549,0.8909816568361416,7.0,0.8899482959780759,5.0
100,5,0.3,0.25,0.8879377187820148,16,0.890848199029458,0.8906436940534833,11.0,0.8893929589057363,20.0
400,4,0.3,0.35,0.885870077639716,43,0.8889344542409952,0.888754587177691,25.0,0.8874022659403555,45.0
400,4,0.35,0.25,0.8857162899045852,44,0.8887977581846763,0.888631386613876,27.0,0.8872570240446307,46.0
100,3,0.3,0.35,0.88870665395384,2,0.8909165470576174,0.8907130527197584,10.0,0.8898116005057286,8.0
500,3,0.35,0.5,0.8865877599660231,36,0.8901647187478641,0.8899799681909403,19.0,0.8883762393569437,36.0
500,4,0.25,0.15,0.8872712694461936,28,0.8905064588886611,0.8903162299952734,16.0,0.8888888641674273,30.0
300,5,0.5,0.5,0.8785222873669718,59,0.8821679994532158,0.8820293306049335,37.0,0.8803451434100937,59.0
200,3,0.35,0.5,0.887920615423772,19,0.8911215911420955,0.8909298355353912,8.0,0.8895211032829338,17.0
500,5,0.25,0.5,0.8836999202948934,55,0.8872257535370105,0.8870561687971336,33.0,0.885462836915952,55.0
400,5,0.3,0.35,0.8840758356177132,54,0.886952361424373,0.8867595355891317,35.0,0.885514098521043,54.0
400,4,0.3,0.15,0.8870149573329376,32,0.8905064588886611,0.8903282845259639,16.0,0.8887607081107993,34.0
500,4,0.3,0.5,0.8850327792564716,49,0.8886610621283576,0.888485934683748,29.0,0.8868469206924146,49.0
400,4,0.3,0.5,0.8857162887366421,45,0.8897546305789078,0.8895778065088278,20.0,0.8877354596577749,43.0
500,4,0.35,0.15,0.8862118329637728,38,0.8895495864944296,0.8893784127494045,23.0,0.8878807097291013,42.0
200,4,0.5,0.15,0.8855624951617959,46,0.8896862825507484,0.889510205163201,21.0,0.8876243888562722,44.0
300,4,0.35,0.35,0.8859384350114199,40,0.8905064588886611,0.890321421596363,16.0,0.8882224469500405,37.0
200,4,0.5,0.35,0.885169451953929,47,0.887499145649648,0.8873282504137583,31.0,0.8863342988017886,53.0
400,3,0.35,0.15,0.8879377141102425,17,0.8909848950857768,0.890787672944509,9.0,0.8894613045980096,19.0
300,4,0.5,0.15,0.8841612788285139,53,0.8886610621283576,0.8884842115246928,29.0,0.8864111704784358,52.0
500,5,0.5,0.35,0.8748825586530495,60,0.8792290342423621,0.8790877778890249,38.0,0.8770557964477058,60.0
