n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
100,5,0.25,0.5,0.8790861317365963,9
400,3,0.3,0.15,0.878658936705568,22
100,3,0.35,0.35,0.8792228301288011,5
300,4,0.3,0.15,0.8779070698536936,33
300,4,0.25,0.25,0.8788810923238903,17
500,4,0.25,0.15,0.878214658171329,30
200,3,0.35,0.25,0.8791886584506077,6
400,3,0.35,0.25,0.8777191034327109,35
100,5,0.35,0.35,0.8782659226962779,29
100,4,0.3,0.35,0.8791544879403571,7
500,3,0.3,0.35,0.8774115244586198,40
500,4,0.25,0.25,0.8777020234333294,36
200,4,0.25,0.35,0.8790519518828014,10
400,3,0.35,0.15,0.8785734958306535,23
300,5,0.3,0.25,0.8769159708879446,43
500,5,0.5,0.35,0.8707472518416477,60
100,4,0.35,0.35,0.878693116559363,21
300,3,0.3,0.15,0.8787443787484257,18
500,3,0.25,0.15,0.8790006955334541,12
200,4,0.25,0.15,0.8787102000625737,20
400,4,0.35,0.5,0.8752242637555545,54
200,3,0.5,0.15,0.8789152558264826,15
200,3,0.3,0.35,0.8792399241434995,4
200,4,0.3,0.35,0.8783342683885511,28
100,5,0.3,0.5,0.8787272847337275,19
400,3,0.5,0.35,0.8758052570332013,51
300,4,0.3,0.5,0.8775140605161758,39
400,5,0.3,0.15,0.8775653110258077,37
500,5,0.25,0.25,0.876591289723554,45
400,5,0.25,0.5,0.8759932117747535,48
100,4,0.3,0.25,0.8790861375763115,8
400,5,0.5,0.5,0.871652908764539,58
300,3,0.3,0.35,0.8789665168476021,13
400,4,0.35,0.25,0.8761299230143321,47
400,3,0.35,0.35,0.8780437764215,32
400,4,0.35,0.35,0.8758394415587686,50
100,3,0.3,0.25,0.8790177872122662,11
200,5,0.35,0.5,0.8770697621269047,42
200,5,0.5,0.35,0.8749508833223476,55
200,4,0.25,0.25,0.878949443855879,14
500,3,0.5,0.25,0.8753438903239794,52
400,4,0.35,0.15,0.8771381194986085,41
200,4,0.35,0.15,0.8785222476569077,24
400,4,0.5,0.5,0.8727123347354723,57
100,5,0.35,0.25,0.8781804771495909,31
500,4,0.5,0.15,0.8742502693159914,56
100,5,0.5,0.15,0.8775311323399557,38
100,5,0.25,0.35,0.8792741039972944,2
300,5,0.3,0.5,0.8759248765939678,49
400,5,0.35,0.25,0.8752413472587651,53
100,4,0.25,0.35,0.8793082896908049,1
300,3,0.3,0.5,0.8784197069275795,25
200,3,0.25,0.15,0.8792399264793856,3
100,5,0.25,0.25,0.8788981711553288,16
500,4,0.5,0.5,0.871054820304251,59
300,3,0.35,0.35,0.8784197045916933,26
500,4,0.25,0.35,0.8767450856342862,44
500,4,0.35,0.15,0.8764204254928708,46
300,4,0.25,0.5,0.8778216196352345,34
200,4,0.3,0.15,0.8783684494102892,27
