n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
100,5,0.25,0.5,0.8790861317365963,9,0.8760166769188709,0.8753516344722432,8.0,0.8775514043277336,9.0
400,3,0.3,0.15,0.878658936705568,22,0.8756065887499146,0.8749370504433559,13.0,0.8771327627277413,25.0
100,3,0.35,0.35,0.8792228301288011,5,0.8760166769188709,0.8753486389090152,8.0,0.8776197535238359,7.0
300,4,0.3,0.15,0.8779070698536936,33,0.876221721003349,0.8755033629306743,5.0,0.8770643954285213,26.0
300,4,0.25,0.25,0.8788810923238903,17,0.8746497163556831,0.8739665924499429,21.0,0.8767654043397868,30.0
500,4,0.25,0.15,0.878214658171329,30,0.8752648486091176,0.8745674914879553,17.0,0.8767397533902233,31.0
200,3,0.35,0.25,0.8791886584506077,6,0.8761533729751897,0.875497328231927,6.0,0.8776710157128986,5.0
400,3,0.35,0.25,0.8777191034327109,35,0.8750598045246395,0.8743261389413863,18.0,0.8763894539786752,35.0
100,5,0.35,0.35,0.8782659226962779,29,0.8760166769188709,0.8752790601724265,8.0,0.8771412998075744,24.0
100,4,0.3,0.35,0.8791544879403571,7,0.8757432848062333,0.8750928270315228,11.0,0.8774488863732952,12.0
500,3,0.3,0.35,0.8774115244586198,40,0.874102932130408,0.8734096715916632,26.0,0.8757572282945139,41.0
500,4,0.25,0.25,0.8777020234333294,36,0.8743079762148862,0.8735665182347895,25.0,0.8760049998241077,38.0
200,4,0.25,0.35,0.8790519518828014,10,0.8757432848062333,0.8750085287457138,11.0,0.8773976183445173,14.0
400,3,0.35,0.15,0.8785734958306535,23,0.8760166769188709,0.8753826514186074,8.0,0.8772950863747622,18.0
300,5,0.3,0.25,0.8769159708879446,43,0.8746497163556831,0.8738526731603342,21.0,0.8757828436218138,40.0
500,5,0.5,0.35,0.8707472518416477,60,0.8687717859339759,0.8679673807549797,38.0,0.8697595188878118,60.0
100,4,0.35,0.35,0.878693116559363,21,0.8760850249470303,0.8754032901724068,7.0,0.8773890707531966,15.0
300,3,0.3,0.15,0.8787443787484257,18,0.8757432848062333,0.8750796199982273,11.0,0.8772438317773295,19.0
500,3,0.25,0.15,0.8790006955334541,12,0.8754015446654364,0.8747122447961724,15.0,0.8772011200994452,21.0
200,4,0.25,0.15,0.8787102000625737,20,0.8764951131159866,0.8758370487902322,3.0,0.8776026565892802,8.0
400,4,0.35,0.5,0.8752242637555545,54,0.8732827557924954,0.8726215892260724,31.0,0.8742535097740249,52.0
200,3,0.5,0.15,0.8789152558264826,15,0.8755382407217551,0.8749143087913952,14.0,0.8772267482741188,20.0
200,3,0.3,0.35,0.8792399241434995,4,0.8757432848062333,0.8750850218356441,11.0,0.8774916044748664,11.0
200,4,0.3,0.35,0.8783342683885511,28,0.8750598045246395,0.8743950212452483,18.0,0.8766970364565954,32.0
100,5,0.3,0.5,0.8787272847337275,19,0.8763584170596679,0.8756885237215715,4.0,0.8775428508966977,10.0
400,3,0.5,0.35,0.8758052570332013,51,0.8747180643838425,0.8739877057997523,20.0,0.875261660708522,47.0
300,4,0.3,0.5,0.8775140605161758,39,0.8739662360740893,0.8732679561644714,28.0,0.8757401482951326,42.0
400,5,0.3,0.15,0.8775653110258077,37,0.8745130202993644,0.8738394971393771,23.0,0.8760391656625861,37.0
500,5,0.25,0.25,0.876591289723554,45,0.8745813683275238,0.8738463612531203,22.0,0.8755863290255389,44.0
400,5,0.25,0.5,0.8759932117747535,48,0.8743763242430456,0.8736202543699844,24.0,0.8751847680088995,48.0
100,4,0.3,0.25,0.8790861375763115,8,0.876221721003349,0.8755381045220881,5.0,0.8776539292898302,6.0
400,5,0.5,0.5,0.871652908764539,58,0.8685667418494977,0.8678283321080705,39.0,0.8701098253070183,59.0
300,3,0.3,0.35,0.8789665168476021,13,0.8757432848062333,0.8750319522112507,11.0,0.8773549008269177,17.0
400,4,0.35,0.25,0.8761299230143321,47,0.8750598045246395,0.8743212792003809,18.0,0.8755948637694858,43.0
400,3,0.35,0.35,0.8780437764215,32,0.87499145649648,0.8742658605142611,19.0,0.8765176164589901,33.0
400,4,0.35,0.35,0.8758394415587686,50,0.8740345841022487,0.873285716136425,27.0,0.8749370128305086,51.0
100,3,0.3,0.25,0.8790177872122662,11,0.876563461144146,0.8758983922322859,2.0,0.8777906241782061,3.0
200,5,0.35,0.5,0.8770697621269047,42,0.8740345841022487,0.8733505598771284,27.0,0.8755521731145767,45.0
200,5,0.5,0.35,0.8749508833223476,55,0.8725309274827421,0.8717143983326712,34.0,0.8737409054025449,55.0
200,4,0.25,0.25,0.878949443855879,14,0.8758116328343927,0.8751219513188396,10.0,0.8773805383451359,16.0
500,3,0.5,0.25,0.8753438903239794,52,0.8729410156516985,0.8722154518107448,32.0,0.874142452987839,53.0
400,4,0.35,0.15,0.8771381194986085,41,0.8746497163556831,0.8738829376784756,21.0,0.8758939179271459,39.0
200,4,0.35,0.15,0.8785222476569077,24,0.8758116328343927,0.8750686230229734,10.0,0.8771669402456501,22.0
400,4,0.5,0.5,0.8727123347354723,57,0.8719157952293076,0.8711067884362552,35.0,0.87231406498239,57.0
100,5,0.35,0.25,0.8781804771495909,31,0.8758116328343927,0.875113802092575,10.0,0.8769960549919917,28.0
500,4,0.5,0.15,0.8742502693159914,56,0.8714373590321919,0.8707063463894166,36.0,0.8728438141740916,56.0
100,5,0.5,0.15,0.8775311323399557,38,0.8747180643838425,0.8739384102055209,20.0,0.876124598361899,36.0
100,5,0.25,0.35,0.8792741039972944,2,0.8755382407217551,0.8748329323224888,14.0,0.8774061723595248,13.0
300,5,0.3,0.5,0.8759248765939678,49,0.8739662360740893,0.873149575085457,28.0,0.8749455563340285,50.0
400,5,0.35,0.25,0.8752413472587651,53,0.8727359715672203,0.8719690540419587,33.0,0.8739886594129926,54.0
100,4,0.25,0.35,0.8793082896908049,1,0.8760850249470303,0.8754057548320079,7.0,0.8776966573189176,4.0
300,3,0.3,0.5,0.8784197069275795,25,0.875333196637277,0.8746317092762974,16.0,0.8768764517824283,29.0
200,3,0.25,0.15,0.8792399264793856,3,0.876563461144146,0.8758672781919818,2.0,0.8779016938117659,1.0
100,5,0.25,0.25,0.8788981711553288,16,0.8767001572004648,0.8760198887402562,1.0,0.8777991641778968,2.0
500,4,0.5,0.5,0.871054820304251,59,0.8701387464971636,0.8692680637090796,37.0,0.8705967834007073,58.0
300,3,0.35,0.35,0.8784197045916933,26,0.875674936778074,0.8749726590353688,12.0,0.8770473206848837,27.0
500,4,0.25,0.35,0.8767450856342862,44,0.8738295400177705,0.8730598183192476,29.0,0.8752873128260283,46.0
500,4,0.35,0.15,0.8764204254928708,46,0.8736244959332923,0.8728172390090424,30.0,0.8750224607130815,49.0
300,4,0.25,0.5,0.8778216196352345,34,0.8750598045246395,0.874379123201279,18.0,0.876440712079937,34.0
200,4,0.3,0.15,0.8783684494102892,27,0.8759483288907115,0.8752678358811914,9.0,0.8771583891505004,23.0
