n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
200,4,0.3,0.15,0.8024470532866549,22
500,3,0.5,0.35,0.7988415207777304,46
100,3,0.35,0.15,0.8030109618931479,13
300,3,0.3,0.35,0.803438153420347,6
400,5,0.25,0.35,0.8002940074756765,39
400,3,0.3,0.35,0.8029938655425636,14
100,4,0.25,0.15,0.8028058909459792,18
100,5,0.25,0.25,0.8036773937098232,4
100,5,0.25,0.15,0.8028571519670988,17
500,5,0.5,0.15,0.7908785550376585,59
200,3,0.35,0.5,0.8034039852459826,7
200,4,0.5,0.15,0.8010458334495437,33
300,4,0.3,0.25,0.8025495788327232,20
300,4,0.25,0.5,0.8021394789843361,24
300,5,0.3,0.35,0.7993029131816998,45
500,3,0.35,0.35,0.8011312918436041,31
300,4,0.35,0.15,0.8009433102393615,35
100,4,0.5,0.5,0.8032843481660701,8
300,4,0.3,0.35,0.80205404511708,25
300,4,0.35,0.25,0.8011142001647922,32
400,3,0.5,0.15,0.8009262314079231,36
400,3,0.25,0.15,0.8031134874392163,10
500,5,0.25,0.25,0.7983289152383073,48
200,3,0.25,0.5,0.804258374140096,2
100,4,0.25,0.35,0.8044805285904754,1
400,4,0.25,0.15,0.8019173221980707,27
200,5,0.25,0.5,0.8019173198621845,28
100,5,0.5,0.15,0.8012850749069629,30
500,3,0.35,0.5,0.8000889470399954,42
100,3,0.5,0.15,0.8030793017457059,12
400,5,0.3,0.35,0.7969276907294239,54
500,5,0.3,0.35,0.795680284322191,56
400,4,0.3,0.35,0.8001743914187393,40
100,5,0.35,0.5,0.8030793332801685,11
200,5,0.35,0.15,0.8009604007502307,34
300,5,0.35,0.25,0.7998838994516881,44
100,5,0.35,0.35,0.8029596891925976,15
100,4,0.35,0.15,0.802600828174412,19
500,3,0.3,0.25,0.8023616135796834,23
500,4,0.3,0.5,0.7988073409239355,47
100,5,0.5,0.5,0.8004477683481169,38
500,4,0.35,0.5,0.7964150419761075,55
400,5,0.35,0.25,0.7983288825359016,49
400,5,0.25,0.15,0.8001743727316503,41
300,5,0.35,0.35,0.7978333394767139,52
400,3,0.3,0.15,0.8028571589747572,16
500,5,0.3,0.15,0.7978674971395906,51
200,3,0.5,0.5,0.802447073141687,21
300,3,0.5,0.5,0.8007211931631604,37
500,5,0.5,0.35,0.7883495541937962,60
300,3,0.5,0.15,0.8018147978199455,29
200,3,0.35,0.35,0.8038140874302557,3
400,4,0.35,0.5,0.7980896679411729,50
100,3,0.3,0.35,0.8035919341478195,5
500,5,0.3,0.25,0.797645389406934,53
300,3,0.35,0.5,0.8019515160671825,26
500,3,0.5,0.25,0.7999693087921399,43
400,5,0.5,0.25,0.7919209360475022,58
500,5,0.35,0.35,0.7944328533881538,57
300,3,0.3,0.15,0.8031134932789316,9
