n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
200,4,0.3,0.15,0.8024470532866549,22,0.8024741986193699,0.8014984957271112,18.0,0.8024606259530124,23.0
500,3,0.5,0.35,0.7988415207777304,46,0.8003554097464288,0.7990986170654469,32.0,0.7995984652620796,46.0
100,3,0.35,0.15,0.8030109618931479,13,0.8037044631262388,0.8030531959327492,8.0,0.8033577125096933,9.0
300,3,0.3,0.35,0.803438153420347,6,0.8035677670699201,0.8026334993753418,9.0,0.8035029602451336,7.0
400,5,0.25,0.35,0.8002940074756765,39,0.8009705419998633,0.7995348766540908,29.0,0.8006322747377699,39.0
400,3,0.3,0.35,0.8029938655425636,14,0.8032943749572825,0.8023299396891482,11.0,0.803144120249923,11.0
100,4,0.25,0.15,0.8028058909459792,18,0.8027475907320074,0.8019175956543364,15.0,0.8027767408389933,18.0
100,5,0.25,0.25,0.8036773937098232,4,0.8040462032670358,0.803130745091571,4.0,0.8038617984884295,4.0
100,5,0.25,0.15,0.8028571519670988,17,0.8031576789009637,0.802300846372913,12.0,0.8030074154340312,16.0
500,5,0.5,0.15,0.7908785550376585,59,0.7904449456633176,0.7886413057648387,47.0,0.790661750350488,59.0
200,3,0.35,0.5,0.8034039852459826,7,0.8039778552388763,0.8030973487929508,5.0,0.8036909202424294,6.0
200,4,0.5,0.15,0.8010458334495437,33,0.8016540222814572,0.8004697399102804,23.0,0.8013499278655005,33.0
300,4,0.3,0.25,0.8025495788327232,20,0.8037044631262388,0.8025693877415041,8.0,0.803127020979481,12.0
300,4,0.25,0.5,0.8021394789843361,24,0.803909507210717,0.8027821744392074,6.0,0.8030244930975265,14.0
300,5,0.3,0.35,0.7993029131816998,45,0.8013806301688197,0.8001171469277044,25.0,0.8003417716752597,40.0
500,3,0.35,0.35,0.8011312918436041,31,0.8028842867883261,0.8018539861924814,14.0,0.8020077893159652,27.0
300,4,0.35,0.15,0.8009433102393615,35,0.8013806301688197,0.8001530610138429,25.0,0.8011619702040906,37.0
100,4,0.5,0.5,0.8032843481660701,8,0.8032943749572825,0.8021367808440579,11.0,0.8032893615616763,10.0
300,4,0.3,0.35,0.80205404511708,25,0.800560453830907,0.799435307063463,30.0,0.8013072494739935,34.0
300,4,0.35,0.25,0.8011142001647922,32,0.8020641104504135,0.8008562776133545,21.0,0.8015891553076029,31.0
400,3,0.5,0.15,0.8009262314079231,36,0.8011072380561821,0.7999086685895435,28.0,0.8010167347320526,38.0
400,3,0.25,0.15,0.8031134874392163,10,0.802337502563051,0.8013068785664385,19.0,0.8027254950011337,19.0
500,5,0.25,0.25,0.7983289152383073,48,0.7999453215774724,0.7985664651107454,35.0,0.7991371184078899,48.0
200,3,0.25,0.5,0.804258374140096,2,0.8034310710136012,0.8025879635109852,10.0,0.8038447225768486,5.0
100,4,0.25,0.35,0.8044805285904754,1,0.8043195953796733,0.8035369519561778,3.0,0.8044000619850744,2.0
400,4,0.25,0.15,0.8019173221980707,27,0.8020641104504135,0.8009966778013757,21.0,0.8019907163242421,28.0
200,5,0.25,0.5,0.8019173198621845,28,0.8024741986193699,0.8013118962009039,18.0,0.8021957592407771,25.0
100,5,0.5,0.15,0.8012850749069629,30,0.8022008065067323,0.8010358098834719,20.0,0.8017429407068476,29.0
500,3,0.35,0.5,0.8000889470399954,42,0.8031576789009637,0.8019658611184837,12.0,0.8016233129704795,30.0
100,3,0.5,0.15,0.8030793017457059,12,0.8022008065067323,0.8014066192265752,20.0,0.8026400541262191,21.0
400,5,0.3,0.35,0.7969276907294239,54,0.7991251452395598,0.7978269977438802,38.0,0.7980264179844918,52.0
500,5,0.3,0.35,0.795680284322191,56,0.7967329642539813,0.7953121101255215,44.0,0.7962066242880861,56.0
400,4,0.3,0.35,0.8001743914187393,40,0.8000820176337913,0.798834694178785,33.0,0.8001282045262652,43.0
100,5,0.35,0.5,0.8030793332801685,11,0.8037728111543982,0.8027087600857153,7.0,0.8034260722172833,8.0
200,5,0.35,0.15,0.8009604007502307,34,0.8015856742532977,0.8004350040979171,24.0,0.8012730375017643,35.0
300,5,0.35,0.25,0.7998838994516881,44,0.7991934932677193,0.7978060502716954,37.0,0.7995386963597038,47.0
100,5,0.35,0.35,0.8029596891925976,15,0.8013122821406602,0.8003261382076976,26.0,0.8021359856666289,26.0
100,4,0.35,0.15,0.802600828174412,19,0.8034310710136012,0.8025367258812949,10.0,0.8030159495940066,15.0
500,3,0.3,0.25,0.8023616135796834,23,0.8020641104504135,0.8009234767765437,21.0,0.8022128620150484,24.0
500,4,0.3,0.5,0.7988073409239355,47,0.8011755860843415,0.7998375476638006,27.0,0.7999914635041385,45.0
100,5,0.5,0.5,0.8004477683481169,38,0.8000136696056319,0.7987327433185862,34.0,0.8002307189768745,42.0
500,4,0.35,0.5,0.7964150419761075,55,0.7985783610142847,0.7970638519098425,40.0,0.7974967014951961,55.0
400,5,0.35,0.25,0.7983288825359016,49,0.7980999248171691,0.7965589711485238,41.0,0.7982144036765353,51.0
400,5,0.25,0.15,0.8001743727316503,41,0.8004921058027475,0.7991838225387354,31.0,0.8003332392671989,41.0
300,5,0.35,0.35,0.7978333394767139,52,0.7974847925637345,0.7960760448253436,43.0,0.7976590660202242,54.0
400,3,0.3,0.15,0.8028571589747572,16,0.8025425466475292,0.8015126554740749,17.0,0.8026998528111432,20.0
500,5,0.3,0.15,0.7978674971395906,51,0.7990567972114004,0.7975915019263584,39.0,0.7984621471754956,50.0
200,3,0.5,0.5,0.802447073141687,21,0.8026792427038479,0.8017822960455996,16.0,0.8025631579227674,22.0
300,3,0.5,0.5,0.8007211931631604,37,0.8017907183377759,0.8007351381429608,22.0,0.8012559557504682,36.0
500,5,0.5,0.35,0.7883495541937962,60,0.788052764677739,0.7863694397254368,48.0,0.7882011594357676,60.0
300,3,0.5,0.15,0.8018147978199455,29,0.8011755860843415,0.8001078053561518,27.0,0.8014951919521435,32.0
200,3,0.35,0.35,0.8038140874302557,3,0.8050030756612672,0.8041292372217257,1.0,0.8044085815457614,1.0
400,4,0.35,0.5,0.7980896679411729,50,0.7995352334085162,0.798123415852269,36.0,0.7988124506748445,49.0
100,3,0.3,0.35,0.8035919341478195,5,0.8046613355204703,0.8039413172024409,2.0,0.8041266348341449,3.0
