n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
100,4,0.5,0.35,0.8338890102723444,19
500,3,0.35,0.5,0.8325521170651322,42
400,3,0.3,0.35,0.8339051205950372,18
100,4,0.5,0.5,0.8330031355367997,38
400,4,0.25,0.35,0.8345171779561125,9
100,5,0.3,0.35,0.8350648334590903,3
200,5,0.3,0.25,0.834114540262217,17
300,3,0.5,0.15,0.8327132109527431,40
400,5,0.5,0.5,0.8256905754938085,60
300,4,0.25,0.35,0.8348070973516593,7
400,3,0.35,0.5,0.8335185382256315,26
100,3,0.25,0.5,0.8328742488044489,39
200,3,0.3,0.35,0.8344205575280332,12
500,4,0.5,0.15,0.8277200361674826,56
400,4,0.25,0.5,0.8336796165477132,22
200,4,0.25,0.15,0.8341950472544976,16
200,3,0.25,0.35,0.834549385111373,8
100,5,0.35,0.5,0.8336473969400295,24
500,4,0.25,0.35,0.8330675342817913,37
300,5,0.5,0.35,0.8267053296977902,58
500,5,0.25,0.5,0.830329389592751,52
300,3,0.25,0.35,0.8350970281619274,2
100,4,0.35,0.35,0.8337601681611775,21
200,4,0.25,0.25,0.8348393117708333,6
200,3,0.35,0.15,0.8333091714812508,32
400,5,0.25,0.5,0.8315857529782399,47
200,3,0.3,0.15,0.8333413755234055,31
200,3,0.5,0.35,0.8326165573182016,41
500,3,0.3,0.35,0.8336312949189522,25
300,4,0.3,0.35,0.8343883327318398,14
500,3,0.25,0.15,0.8344527667586976,11
200,5,0.35,0.25,0.8332125302991328,34
500,3,0.3,0.25,0.8332124950172666,35
300,3,0.3,0.5,0.8350487210609936,4
400,4,0.35,0.5,0.8303132917224816,53
400,3,0.3,0.25,0.8338406699649483,20
400,3,0.3,0.15,0.8343883431088592,13
300,3,0.5,0.35,0.8323266265079334,44
200,4,0.35,0.15,0.8334863383342845,27
100,3,0.25,0.15,0.8275750640172858,57
400,3,0.5,0.35,0.8315051505173804,48
300,3,0.5,0.25,0.8320367081500887,46
400,5,0.5,0.25,0.8258355289653702,59
400,5,0.35,0.35,0.8300233640253192,54
500,3,0.3,0.15,0.8342111731427195,15
200,4,0.35,0.5,0.83335749207231,30
300,5,0.35,0.25,0.8310219643231265,50
400,4,0.3,0.35,0.8332769383834419,33
500,5,0.35,0.15,0.8286059358078739,55
300,3,0.35,0.15,0.833647406279347,23
500,4,0.25,0.5,0.83227831421849,45
300,3,0.3,0.35,0.8344849842909774,10
200,5,0.25,0.35,0.8350164890008864,5
500,3,0.35,0.35,0.8324554738076101,43
100,4,0.3,0.15,0.8312474538426231,49
200,5,0.3,0.5,0.8333735889048776,29
400,3,0.35,0.25,0.8334058074748593,28
500,3,0.5,0.35,0.8307642427435225,51
200,4,0.25,0.5,0.8356607846482806,1
200,5,0.3,0.15,0.8330997767189179,36
