n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
100,4,0.5,0.35,0.8338890102723444,19,0.8320448395825281,0.831313729693719,20.0,0.8329669249274363,25.0
500,3,0.35,0.5,0.8325521170651322,42,0.8311428939569643,0.8304035623652919,28.0,0.8318475055110482,43.0
400,3,0.3,0.35,0.8339051205950372,18,0.8306274964566421,0.8298599014746708,32.0,0.8322663085258397,39.0
100,4,0.5,0.5,0.8330031355367997,38,0.8339131555211957,0.8331138971473345,3.0,0.8334581455289978,18.0
400,4,0.25,0.35,0.8345171779561125,9,0.8328179358330112,0.8320775907956546,13.0,0.8336675568945618,10.0
100,5,0.3,0.35,0.8350648334590903,3,0.8321736889576086,0.8315064353139167,19.0,0.8336192612083495,14.0
200,5,0.3,0.25,0.834114540262217,17,0.8332044839582528,0.8324076557699182,9.0,0.8336595121102348,11.0
300,3,0.5,0.15,0.8327132109527431,40,0.8330756345831722,0.8322957736044002,11.0,0.8328944227679577,27.0
400,5,0.5,0.5,0.8256905754938085,60,0.8217368895760856,0.8208906161105088,42.0,0.8237137325349471,60.0
300,4,0.25,0.35,0.8348070973516593,7,0.8335910320834944,0.8328821506463775,7.0,0.8341990647175768,4.0
400,3,0.35,0.5,0.8335185382256315,26,0.8322381136451488,0.8315423562935951,18.0,0.8328783259353901,28.0
100,3,0.25,0.5,0.8328742488044489,39,0.8315938667697461,0.8309430012105038,23.0,0.8322340577870975,40.0
200,3,0.3,0.35,0.8344205575280332,12,0.8328823605205514,0.8321659080805115,12.0,0.8336514590242923,12.0
500,4,0.5,0.15,0.8277200361674826,56,0.8300476742687798,0.8291545436680281,33.0,0.8288838552181312,56.0
400,4,0.25,0.5,0.8336796165477132,22,0.8326246617703904,0.8319450970800051,15.0,0.8331521391590517,22.0
200,4,0.25,0.15,0.8341950472544976,16,0.8313361680195851,0.8305792960052547,26.0,0.8327656076370413,29.0
200,3,0.25,0.35,0.834549385111373,8,0.8332689086457931,0.8325611775178553,8.0,0.8339091468785831,8.0
100,5,0.35,0.5,0.8336473969400295,24,0.8332689086457931,0.8326042410245621,8.0,0.8334581527929112,17.0
500,4,0.25,0.35,0.8330675342817913,37,0.8324313877077696,0.8316580300266582,17.0,0.8327494609947804,30.0
300,5,0.5,0.35,0.8267053296977902,58,0.8281793583301121,0.8274066432033398,39.0,0.8274423440139511,57.0
500,5,0.25,0.5,0.830329389592751,52,0.830820770519263,0.8300433268299198,30.0,0.830575080056007,51.0
300,3,0.25,0.35,0.8350970281619274,2,0.8338487308336554,0.8331527184310723,4.0,0.8344728794977914,3.0
100,4,0.35,0.35,0.8337601681611775,21,0.8321736889576086,0.8314978664550725,19.0,0.832966928559393,24.0
200,4,0.25,0.25,0.8348393117708333,6,0.8331400592707126,0.8324726310378201,10.0,0.8339896855207729,5.0
200,3,0.35,0.15,0.8333091714812508,32,0.8320448395825281,0.8313056904484007,20.0,0.8326770055318895,31.0
