n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
200,4,0.35,0.5,0.8667310243186612,27,0.8639350599149594,0.8643085290625514,10.0,0.8653330421168104,24.0
100,4,0.5,0.15,0.8663122628119476,31,0.8646437314779023,0.8652263912579388,3.0,0.8654779971449249,18.0
300,4,0.35,0.35,0.8653619447102276,41,0.864321608040201,0.864637674134581,6.0,0.8648417763752143,33.0
200,5,0.5,0.5,0.8624143772409019,56,0.8603272774127045,0.8605007942573168,38.0,0.8613708273268033,57.0
300,5,0.3,0.15,0.8661189960132405,32,0.8639350599149594,0.8643713340428664,10.0,0.8650270279640999,27.0
300,4,0.25,0.15,0.8674880704331644,5,0.8645793067903621,0.8650667929028741,4.0,0.8660336886117632,3.0
300,5,0.25,0.5,0.8652975324751107,43,0.8629042649143152,0.8631760480577064,23.0,0.864100898694713,40.0
400,3,0.5,0.15,0.8666021905091099,29,0.8627109908516943,0.8631430430285981,26.0,0.8646565906804021,35.0
200,5,0.25,0.35,0.8671336993698269,16,0.8649014302280634,0.8653532013674516,1.0,0.8660175647989452,4.0
100,4,0.3,0.35,0.8673753002497184,8,0.8634196624146373,0.8640310353883524,17.0,0.8653974813321779,20.0
100,5,0.25,0.25,0.8673591961532372,10,0.8624532921015333,0.8630977043774777,29.0,0.8649062441273853,30.0
100,3,0.3,0.25,0.8669887438228612,20,0.8636773611647983,0.8644103368887923,14.0,0.8653330524938297,23.0
400,3,0.3,0.25,0.8669565242151775,21,0.864321608040201,0.8647793231627064,6.0,0.8656390661276893,12.0
500,3,0.25,0.25,0.8674236322554989,6,0.8648370055405231,0.8653397084717264,2.0,0.866130318898011,1.0
400,4,0.35,0.35,0.8642183629229062,51,0.8626465661641541,0.8628697955757564,27.0,0.8634324645435302,48.0
300,5,0.3,0.5,0.8643472060717751,49,0.8629686896018555,0.8631995684868182,22.0,0.8636579478368153,46.0
500,5,0.35,0.35,0.8613996375647474,58,0.861422497100889,0.8617036799224659,33.0,0.8614110673328181,56.0
200,4,0.25,0.5,0.8670853694394504,19,0.8638706352274191,0.8642702954384373,11.0,0.8654780023334347,17.0
200,3,0.3,0.5,0.866875996468858,24,0.8638706352274191,0.8643408047338809,11.0,0.8653733158481386,22.0
100,3,0.5,0.35,0.8671015108932015,17,0.8637417858523386,0.8642895763494116,13.0,0.8654216483727701,19.0
400,5,0.5,0.25,0.8598372766297792,60,0.8589099342868187,0.8588901194164177,42.0,0.859373605458299,60.0
