n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
400,4,0.3,0.5,0.8396714040832044,38,0.8381651848988533,0.8376508205255436,37.0,0.8389182944910288,42.0
300,5,0.25,0.35,0.8398485948033829,37,0.8390027058368766,0.838441114166399,32.0,0.8394256503201298,37.0
200,4,0.3,0.35,0.8424095892426204,16,0.8403556242752223,0.8397571477244448,17.0,0.8413826067589214,17.0
400,4,0.5,0.25,0.8346782386372613,54,0.835910320834944,0.8354321890445312,45.0,0.8352942797361027,53.0
300,5,0.25,0.25,0.8411693486322478,26,0.8387450070867156,0.8382190094762357,34.0,0.8399571778594817,29.0
400,3,0.25,0.5,0.8430538828146106,4,0.8420306661512692,0.8414198490830602,3.0,0.8425422744829398,1.0
300,4,0.25,0.15,0.8428927858138939,7,0.8408065970880041,0.840189474193625,11.0,0.841849691450949,9.0
200,4,0.5,0.25,0.8390915580281972,44,0.8382296095863935,0.8377079534165432,36.0,0.8386605838072954,43.0
100,5,0.5,0.35,0.8381573357213429,48,0.8373276639608298,0.8367940065166344,42.0,0.8377424998410863,48.0
400,3,0.5,0.35,0.8389626661073369,45,0.840291199587682,0.8397157298574509,18.0,0.8396269328475094,35.0
200,3,0.35,0.25,0.8428444704113445,8,0.840291199587682,0.8396208491696578,18.0,0.8415678349995133,13.0
100,3,0.25,0.25,0.8419424760137892,22,0.8401623502126014,0.8393077932028489,20.0,0.8410524131131953,22.0
100,3,0.5,0.5,0.8427961736874301,10,0.8400979255250612,0.8393723642489634,21.0,0.8414470496062456,15.0
400,5,0.25,0.5,0.8379801678306071,49,0.8379719108362325,0.8374554332966081,39.0,0.8379760393334198,47.0
500,5,0.35,0.25,0.8344366242672444,55,0.8350083752093802,0.834611275401585,47.0,0.8347224997383123,54.0
200,5,0.5,0.35,0.8337440401975516,57,0.8335910320834944,0.8331820172486123,49.0,0.833667536140523,56.0
400,5,0.35,0.5,0.8339695224531346,56,0.8342997036464374,0.8338767725808939,48.0,0.834134613049786,55.0
400,3,0.35,0.35,0.8419908215096952,21,0.8416441180260276,0.8410597297326878,5.0,0.8418174697678613,10.0
200,3,0.3,0.5,0.8434887556817191,1,0.8410642958381652,0.8403907172991824,9.0,0.8422765257599422,7.0
500,4,0.3,0.5,0.8383345368185409,47,0.8387450070867156,0.8382866929986964,34.0,0.8385397719526282,44.0
500,3,0.5,0.25,0.8391881784562766,43,0.8401623502126014,0.839679257034544,20.0,0.839675264334439,32.0
400,4,0.25,0.25,0.8418297473384211,23,0.8411287205257054,0.8406090162174719,8.0,0.8414792339320633,14.0
200,3,0.35,0.5,0.8426834024662821,11,0.8404844736503028,0.8398133123986624,15.0,0.8415839380582925,12.0
500,3,0.3,0.25,0.8421357542272179,20,0.8403556242752223,0.8397664809917009,17.0,0.8412456892512201,20.0
400,4,0.35,0.35,0.8395908503943363,39,0.8396469527122793,0.8391209038494665,26.0,0.8396189015533078,36.0
400,5,0.5,0.25,0.8285575965381797,60,0.8314650173946656,0.8311439712860781,50.0,0.8300113069664227,58.0
500,4,0.5,0.5,0.8307481438355511,58,0.8305630717691019,0.8301451663212291,51.0,0.8306556078023265,57.0
500,4,0.3,0.25,0.8393492515898486,41,0.839324829274578,0.838793214178554,29.0,0.8393370404322134,38.0
100,5,0.3,0.5,0.842441830642045,15,0.8402267749001417,0.8395739331215315,19.0,0.8413343027710933,18.0
200,5,0.35,0.5,0.8384150604140526,46,0.8380363355237727,0.8374913278527536,38.0,0.8382256979689127,45.0
300,4,0.3,0.5,0.8411049197938998,27,0.8393892539621183,0.8388593559829653,28.0,0.840247086878009,27.0
500,4,0.3,0.35,0.8400740583803311,33,0.8392604045870378,0.8387390830725214,30.0,0.8396672314836844,33.0
300,3,0.5,0.35,0.8399452141937602,34,0.8406777477129236,0.8400789214591035,13.0,0.8403114809533418,26.0
500,4,0.25,0.25,0.8412821094763763,25,0.8407421724004639,0.8402271382301201,12.0,0.8410121409384201,23.0
500,4,0.35,0.5,0.8360473338112242,52,0.8377786367736116,0.8373015655298082,41.0,0.836912985292418,51.0
100,3,0.25,0.35,0.8429894425615412,5,0.8416441180260276,0.8408820582453956,5.0,0.8423167802937843,6.0
300,3,0.3,0.35,0.8431343908445932,3,0.8415796933384873,0.8409275885590572,6.0,0.8423570420915403,5.0
500,5,0.25,0.35,0.8366110643550287,51,0.8384228836490143,0.8379622113253644,35.0,0.8375169740020215,49.0
100,3,0.5,0.25,0.8425706291697304,14,0.8406777477129236,0.839996019777308,13.0,0.8416241884413269,11.0
500,4,0.25,0.5,0.8398968904895953,36,0.8384228836490143,0.8379003489810442,35.0,0.8391598870693048,41.0
100,5,0.35,0.35,0.8421840820821906,19,0.8406133230253833,0.8399875567042132,14.0,0.841398702553787,16.0
300,4,0.3,0.15,0.8423451645550801,18,0.8404200489627626,0.839860355584198,16.0,0.8413826067589214,17.0
200,5,0.25,0.15,0.8423612603499457,17,0.8398402267749001,0.8392398180964367,24.0,0.8411007435624229,21.0
400,5,0.35,0.15,0.8373680969794066,50,0.8370055405231285,0.836569665543415,43.0,0.8371868187512675,50.0
100,3,0.25,0.15,0.8395264537247484,40,0.836425718335266,0.8355656840805976,44.0,0.8379760860300072,46.0
500,5,0.3,0.35,0.835660778422069,53,0.8353304986470815,0.8349355716143101,46.0,0.8354956385345753,52.0
400,4,0.35,0.15,0.8405733932922498,29,0.8397113773998196,0.8391598812805215,25.0,0.8401423853460347,28.0
300,4,0.35,0.25,0.8405572974973842,30,0.8391959798994975,0.8386729520784126,31.0,0.8398766386984409,30.0
300,5,0.5,0.5,0.8295562404194687,59,0.8285014817678135,0.8280901766969067,52.0,0.8290288610936412,59.0
400,3,0.3,0.35,0.8425706540745769,13,0.8422883649014302,0.8416502870779702,1.0,0.8424295094880035,3.0
500,3,0.35,0.25,0.8417330905907737,24,0.8399690761499806,0.8394154263496684,23.0,0.8408510833703772,24.0
100,5,0.25,0.15,0.8406217398258575,28,0.8379074861486921,0.8371922178413501,40.0,0.8392646129872748,40.0
500,4,0.35,0.15,0.8392526342748752,42,0.839324829274578,0.8388200820896483,29.0,0.8392887317747266,39.0
200,4,0.25,0.15,0.8426350766867132,12,0.8400335008375209,0.8393814791445043,22.0,0.8413342887621171,19.0
500,3,0.25,0.15,0.84292499608226,6,0.8420950908388094,0.8414735737618991,2.0,0.8425100434605347,2.0
