n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
200,3,0.35,0.5,0.8292501359866891,8,0.8315294420822059,0.8299258440912353,20.0,0.8303897890344475,19.0
200,5,0.5,0.35,0.824369718932451,52,0.8280505089550315,0.8260167759137441,38.0,0.8262101139437412,56.0
400,4,0.25,0.15,0.8284125849553092,21,0.8323669630202294,0.830643406014199,10.0,0.8303897739877693,20.0
400,4,0.3,0.15,0.8282837137884879,24,0.8318515655199072,0.8300354539021314,16.0,0.8300676396541975,27.0
500,4,0.3,0.15,0.8277522007769631,33,0.8319159902074474,0.8301247322711208,15.0,0.8298340954922052,30.0
500,4,0.3,0.25,0.8264958488061958,44,0.8303697977064811,0.828421186250157,28.0,0.8284328232563385,46.0
200,5,0.5,0.25,0.8243375148902965,53,0.8292101533307563,0.8271931182497925,34.0,0.8267738341105264,51.0
300,3,0.35,0.5,0.8278488419590814,30,0.833011209895632,0.8313373250035611,5.0,0.8304300259273567,18.0
500,4,0.35,0.35,0.825255609233525,47,0.8306274964566421,0.8287532626301771,26.0,0.8279415528450835,47.0
400,3,0.5,0.25,0.8268018795621372,41,0.8302409483314006,0.82848702332541,29.0,0.8285214139467689,45.0
400,3,0.25,0.35,0.8290085340690956,10,0.8328179358330112,0.8310859945767002,6.0,0.8309132349510534,8.0
100,5,0.35,0.35,0.828960221779652,11,0.8319804148949878,0.8301536712718524,14.0,0.8304703183373199,16.0
400,5,0.25,0.15,0.8272528835059774,39,0.8320448395825281,0.8301874960352198,13.0,0.8296488615442528,34.0
100,5,0.3,0.15,0.8278005016516852,31,0.8309496198943435,0.8291949131442168,24.0,0.8293750607730144,37.0
200,3,0.35,0.35,0.8292501442883046,7,0.8331400592707126,0.8315018152824469,3.0,0.8311951017795085,3.0
200,5,0.3,0.25,0.8284125932569247,20,0.8331400592707126,0.831274697724047,3.0,0.8307763262638186,11.0
300,4,0.35,0.35,0.8274139545641457,37,0.8321736889576086,0.8303935640675696,11.0,0.8297938217608771,32.0
500,5,0.25,0.25,0.826205910732014,45,0.8314005927071254,0.8294670962991247,22.0,0.8288032517195697,41.0
100,3,0.25,0.5,0.8287991361936566,13,0.8315294420822059,0.8299267329372981,20.0,0.8301642891379313,25.0
300,3,0.35,0.35,0.828477018982167,19,0.8321092642700683,0.8304060577788146,12.0,0.8302931416261177,22.0
400,4,0.35,0.15,0.8274461710587235,35,0.8320448395825281,0.830223579454822,13.0,0.8297455053206257,33.0
300,4,0.25,0.25,0.8287830393610891,14,0.8330756345831722,0.831294831369591,4.0,0.8309293369721307,6.0
400,5,0.25,0.25,0.8274300430950976,36,0.8316582914572864,0.8297856793863764,18.0,0.8295441672761921,35.0
500,4,0.5,0.15,0.8228556599099071,57,0.829854400206159,0.8278280118605283,31.0,0.826355030058033,54.0
100,3,0.35,0.35,0.8293789884748755,6,0.8320448395825281,0.8304263596904983,13.0,0.8307119140287018,12.0
400,3,0.25,0.15,0.8291051794020216,9,0.8320448395825281,0.8303342214236933,13.0,0.8305750094922748,15.0
200,3,0.3,0.25,0.8296367079790754,3,0.8327535111454709,0.831125871821987,7.0,0.8311951095622732,2.0
400,5,0.35,0.15,0.8247079858993075,50,0.8292745780182966,0.8272064027375345,33.0,0.8269912819588021,49.0
400,3,0.5,0.35,0.826592505553843,43,0.8304986470815616,0.8286436562455679,27.0,0.8285455763177023,44.0
200,5,0.3,0.35,0.8280904303865495,27,0.8315294420822059,0.8295385423857887,20.0,0.8298099362343777,31.0
100,4,0.35,0.15,0.828299817884969,22,0.8304986470815616,0.8286930561177532,27.0,0.8293992324832653,36.0
300,3,0.5,0.25,0.8273978380152411,38,0.8300476742687798,0.8283114531016903,30.0,0.8287227561420105,42.0
500,5,0.35,0.5,0.8217281718420473,58,0.8274062620796289,0.8254826831561035,39.0,0.824567216960838,58.0
200,5,0.35,0.15,0.826656935429893,42,0.8314650173946656,0.8294991223821493,21.0,0.8290609764122794,38.0
100,4,0.25,0.35,0.829878306783563,1,0.8319159902074474,0.8302264724860718,15.0,0.8308971484955052,9.0
500,5,0.5,0.25,0.8187484096698845,60,0.8232186573895116,0.8211545587237553,42.0,0.820983533529698,60.0
100,5,0.25,0.5,0.8295400605707455,4,0.8330756345831722,0.8313460765759905,4.0,0.8313078475769589,1.0
200,3,0.25,0.5,0.8294112080825591,5,0.8309496198943435,0.829389129031288,24.0,0.8301804139884512,24.0
400,5,0.5,0.25,0.820375194254691,59,0.8247004252029377,0.8226432073104438,41.0,0.8225378097288143,59.0
100,3,0.35,0.15,0.8274944802350612,34,0.8302409483314006,0.8285562480589594,29.0,0.8288677142832309,39.0
300,4,0.3,0.25,0.8280582211558852,28,0.8324958123953099,0.8306770538106921,9.0,0.8302770167755975,23.0
400,5,0.3,0.5,0.8243214035299017,54,0.8284370570802732,0.8265356415861386,36.0,0.8263792303050874,53.0
400,5,0.35,0.25,0.825239522777977,48,0.8297255508310785,0.8276642870822951,32.0,0.8274825368045278,48.0
200,4,0.35,0.25,0.828783021720156,15,0.8332044839582528,0.8313647951139014,2.0,0.8309937528392044,5.0
500,3,0.5,0.35,0.8247563033772608,49,0.8292101533307563,0.8273205434471282,34.0,0.8269832283540086,50.0
400,3,0.25,0.5,0.8282031808536586,26,0.8317227161448267,0.8300792847008694,17.0,0.8299629484992427,28.0
300,5,0.35,0.15,0.8259321296771125,46,0.8312073186445046,0.8292351228051604,23.0,0.8285697241608085,43.0
500,3,0.25,0.25,0.8282837210524014,23,0.8319159902074474,0.830247689269878,15.0,0.8300998556299244,26.0
100,5,0.5,0.5,0.8278971615124384,29,0.8333977580208736,0.8315427684175505,1.0,0.830647459766656,14.0
500,3,0.25,0.35,0.8287508239042132,16,0.8326246617703904,0.8308277716142723,8.0,0.8306877428373018,13.0
400,3,0.3,0.25,0.8284931199655423,18,0.8332044839582528,0.8315688292227781,2.0,0.8308488019618976,10.0
100,3,0.5,0.15,0.8282192922140534,25,0.8315938667697461,0.8299522184149042,19.0,0.8299065794918998,29.0
400,5,0.35,0.35,0.8244663933210316,51,0.8285014817678135,0.8265013274032302,35.0,0.8264839375444225,52.0
200,4,0.25,0.5,0.8289441010799397,12,0.8330756345831722,0.8314238209393333,4.0,0.831009867831556,4.0
200,3,0.3,0.35,0.8297333356710682,2,0.8321092642700683,0.8304297384693086,12.0,0.8309212999705682,7.0
300,3,0.3,0.35,0.8286219641521131,17,0.8320448395825281,0.8303537397742004,13.0,0.8303334018673205,21.0
500,5,0.35,0.35,0.8234999846129556,56,0.8270841386419275,0.8249954022260397,40.0,0.8252920616274415,57.0
300,5,0.25,0.35,0.8277844089699254,32,0.8331400592707126,0.8311546053121484,3.0,0.8304622341203189,17.0
300,5,0.3,0.35,0.8268824083461587,40,0.830820770519263,0.8288395302352828,25.0,0.8288515894327109,40.0
300,4,0.5,0.5,0.8242731099190932,55,0.8282437830176523,0.8263699184277538,37.0,0.8262584464683728,55.0
