n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
200,3,0.35,0.5,0.8292501359866891,10.0,0.8315294420822059,0.8299258440912353,23.0,0.8303897890344475,24.0
200,5,0.5,0.35,0.824369718932451,59.0,0.8280505089550315,0.8260167759137441,42.0,0.8262101139437412,63.0
400,4,0.25,0.15,0.8284125849553092,26.0,0.8323669630202294,0.830643406014199,12.0,0.8303897739877693,25.0
400,4,0.3,0.15,0.8282837137884879,29.0,0.8318515655199072,0.8300354539021314,19.0,0.8300676396541975,33.0
500,4,0.3,0.15,0.8277522007769631,40.0,0.8319159902074474,0.8301247322711208,18.0,0.8298340954922052,36.0
500,4,0.3,0.25,0.8264958488061958,51.0,0.8303697977064811,0.828421186250157,32.0,0.8284328232563385,53.0
200,5,0.5,0.25,0.8243375148902965,60.0,0.8292101533307563,0.8271931182497925,38.0,0.8267738341105264,58.0
300,3,0.35,0.5,0.8278488419590814,37.0,0.833011209895632,0.8313373250035611,7.0,0.8304300259273567,23.0
500,4,0.35,0.35,0.825255609233525,54.0,0.8306274964566421,0.8287532626301771,30.0,0.8279415528450835,54.0
400,3,0.5,0.25,0.8268018795621372,48.0,0.8302409483314006,0.82848702332541,33.0,0.8285214139467689,52.0
400,3,0.25,0.35,0.8290085340690956,12.0,0.8328179358330112,0.8310859945767002,8.0,0.8309132349510534,12.0
100,5,0.35,0.35,0.828960221779652,13.0,0.8319804148949878,0.8301536712718524,17.0,0.8304703183373199,21.0
400,5,0.25,0.15,0.8272528835059774,46.0,0.8320448395825281,0.8301874960352198,16.0,0.8296488615442528,40.0
100,5,0.3,0.15,0.8278005016516852,38.0,0.8309496198943435,0.8291949131442168,28.0,0.8293750607730144,44.0
200,3,0.35,0.35,0.8292501442883046,9.0,0.8331400592707126,0.8315018152824469,5.0,0.8311951017795085,6.0
200,5,0.3,0.25,0.8284125932569247,25.0,0.8331400592707126,0.831274697724047,5.0,0.8307763262638186,15.0
300,4,0.35,0.35,0.8274139545641457,44.0,0.8321736889576086,0.8303935640675696,14.0,0.8297938217608771,38.0
500,5,0.25,0.25,0.826205910732014,52.0,0.8314005927071254,0.8294670962991247,25.0,0.8288032517195697,48.0
100,3,0.25,0.5,0.8287991361936566,17.0,0.8315294420822059,0.8299267329372981,23.0,0.8301642891379313,31.0
300,3,0.35,0.35,0.828477018982167,24.0,0.8321092642700683,0.8304060577788146,15.0,0.8302931416261177,27.0
400,4,0.35,0.15,0.8274461710587235,42.0,0.8320448395825281,0.830223579454822,16.0,0.8297455053206257,39.0
300,4,0.25,0.25,0.8287830393610891,18.0,0.8330756345831722,0.831294831369591,6.0,0.8309293369721307,10.0
400,5,0.25,0.25,0.8274300430950976,43.0,0.8316582914572864,0.8297856793863764,21.0,0.8295441672761921,42.0
500,4,0.5,0.15,0.8228556599099071,64.0,0.829854400206159,0.8278280118605283,35.0,0.826355030058033,61.0
