n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
100,5,0.5,0.5,0.7599581199268152,41,0.7572477773482799,0.7561000005946424,23.0,0.7586029486375475,37.0
300,5,0.3,0.25,0.760731262873886,36,0.7553150367220719,0.7541740992923541,33.0,0.758023149797979,42.0
500,5,0.3,0.35,0.7556092189972079,54,0.7516428295322768,0.7503995616525871,40.0,0.7536260242647423,54.0
100,3,0.3,0.5,0.7620681519302904,27,0.7571833526607396,0.7567016196286348,24.0,0.759625752295515,32.0
400,5,0.5,0.5,0.7488120823970875,60,0.7447493879654684,0.7431261040320682,47.0,0.746780735181278,60.0
100,5,0.25,0.35,0.7644680690851482,1,0.7592449426620281,0.7584621059788746,8.0,0.7618565058735882,3.0
300,4,0.3,0.5,0.7612788830949977,33,0.7584074217240047,0.7575531519697877,16.0,0.7598431524095012,28.0
300,5,0.5,0.5,0.751775763302212,59,0.748550444530344,0.7470410075470628,45.0,0.7501631039162779,59.0
400,4,0.3,0.15,0.7614721696100418,32,0.75969591547481,0.7587933845722192,5.0,0.760584042542426,20.0
200,5,0.3,0.25,0.7626963165009527,18,0.7593737920371086,0.7584926346782079,7.0,0.7610350542690307,14.0
100,3,0.3,0.15,0.7611661554573315,34,0.7558948589099342,0.7553936844078744,31.0,0.7585305071836328,38.0
400,3,0.3,0.5,0.7622130981379386,25,0.7591160932869475,0.7585147654025955,9.0,0.760664595712443,18.0
200,3,0.35,0.5,0.7629057039993723,16,0.7602113129751321,0.7597093453977443,2.0,0.7615585084872523,6.0
400,3,0.35,0.35,0.7627285174300015,17,0.7586651204741657,0.7579657821950568,14.0,0.7606968189520835,17.0
300,4,0.25,0.25,0.7638237993803028,3,0.7584718464115449,0.7577098706546855,15.0,0.7611478228959239,11.0
500,5,0.35,0.35,0.7543850565407677,55,0.7504187604690117,0.7490709093609126,43.0,0.7524019085048896,55.0
100,3,0.5,0.35,0.7622292167622469,24,0.7573122020358202,0.7567616614493129,22.0,0.7597707093990336,29.0
300,5,0.25,0.25,0.762164787923899,26,0.7586651204741657,0.7577346846822219,14.0,0.7604149541990324,23.0
500,3,0.35,0.15,0.7626962967846158,19,0.7576987501610617,0.7568671536672232,21.0,0.7601975234728388,26.0
100,5,0.35,0.25,0.7635982911821709,6,0.7573122020358202,0.7565091303435905,22.0,0.7604552466089955,22.0
500,4,0.3,0.15,0.7603768907728464,40,0.7590516685994073,0.758144954985266,10.0,0.7597142796861269,31.0
200,3,0.25,0.35,0.7631795234492456,12,0.7602757376626723,0.7598412045590471,1.0,0.7617276305559589,5.0
500,5,0.35,0.5,0.7526133444269483,58,0.7490014173431259,0.7478287533670719,44.0,0.7508073808850371,57.0
200,4,0.3,0.25,0.7635499716288138,7,0.7600824636000515,0.759293732916108,3.0,0.7618162176144326,4.0
500,3,0.5,0.5,0.7585729071662459,46,0.7549929132843706,0.7540139454457668,34.0,0.7567829102253083,46.0
100,4,0.3,0.25,0.7635499716288138,7,0.7579564489112228,0.7572579395026345,19.0,0.7607532102700183,16.0
100,4,0.35,0.25,0.7636627179451151,5,0.758729545161706,0.758166907242956,13.0,0.7611961315534106,10.0
300,4,0.25,0.35,0.7630184513533755,15,0.7598247648498905,0.7590546671448101,4.0,0.761421608101633,7.0
500,5,0.35,0.15,0.7563501475251044,52,0.7543486664089679,0.7531230304669766,35.0,0.7553494069670361,49.0
300,5,0.35,0.35,0.7580735784805389,48,0.7542842417214276,0.7531424637767318,36.0,0.7561789101009833,48.0
400,4,0.35,0.35,0.7594427016724543,45,0.7559592835974746,0.754962770353501,30.0,0.7577009926349645,44.0
200,4,0.35,0.5,0.7620520115142412,28,0.7578920242236825,0.7571447484925458,20.0,0.7599720178689618,27.0
400,3,0.5,0.35,0.7604413227243003,39,0.756796804535498,0.7559649410382402,26.0,0.7586190636298992,36.0
300,4,0.5,0.35,0.7579286229335732,49,0.7516428295322768,0.7505251925301349,40.0,0.754785726232925,52.0
500,4,0.5,0.15,0.7565595339858221,51,0.7539621182837263,0.7528254379768029,37.0,0.7552608261347742,50.0
500,4,0.5,0.35,0.753354273992547,57,0.7471975260919984,0.7459054576898194,46.0,0.7502759000422727,58.0
400,5,0.25,0.35,0.7605540742291114,38,0.7562169823476356,0.7550970150674285,28.0,0.7583855282883735,39.0
300,5,0.3,0.5,0.7583635196678264,47,0.7565391057853369,0.7555484078064902,27.0,0.7574513127265816,45.0
100,3,0.35,0.15,0.7616815560707594,30,0.7560881329725551,0.7555669915025306,29.0,0.7588848445216572,35.0
300,5,0.35,0.5,0.7565917598197175,50,0.7535111454709444,0.7525336186965431,38.0,0.7550514526453309,51.0
300,4,0.35,0.5,0.7607151432118757,37,0.7557015848473135,0.7548482116152776,32.0,0.7582083640295947,41.0
500,3,0.25,0.25,0.7633244821093169,10,0.7591160932869475,0.7585410309766126,9.0,0.7612202876981322,9.0
200,3,0.3,0.5,0.7631795161853319,13,0.7591160932869475,0.7586100365208275,9.0,0.7611478047361397,12.0
500,3,0.5,0.15,0.7596681953427589,43,0.756796804535498,0.7559207525312743,26.0,0.7582324999391284,40.0
200,5,0.35,0.35,0.7617459859468092,29,0.7572477773482799,0.7561260927016665,23.0,0.7594968816475445,33.0
400,5,0.3,0.15,0.7594749171293302,44,0.7534467207834042,0.7523505670448288,39.0,0.7564608189563673,47.0
200,4,0.5,0.15,0.7610694789933472,35,0.7569256539105785,0.7560223324138663,25.0,0.7589975664519628,34.0
400,4,0.5,0.35,0.7562696426082278,53,0.751449555469656,0.7501659055886907,41.0,0.7538595990389418,53.0
200,4,0.3,0.5,0.7625030144203794,20,0.7591160932869475,0.7583407546143722,9.0,0.7608095538536634,15.0
100,5,0.3,0.15,0.7624063722005593,22,0.7580852982863033,0.7574208923985702,18.0,0.7602458352434314,25.0
200,3,0.25,0.15,0.762277518674671,23,0.7588583945367865,0.7584595095047417,11.0,0.7605679566057287,21.0
100,4,0.35,0.5,0.7633244582421723,11,0.7578920242236825,0.7572290332515951,20.0,0.7606082412329274,19.0
300,3,0.25,0.5,0.7637754673745222,4,0.7602113129751321,0.7596315875349438,2.0,0.7619933901748271,2.0
500,3,0.35,0.35,0.762470808302821,21,0.7582785723489242,0.7575513899594423,17.0,0.7603746903258726,24.0
300,5,0.5,0.25,0.753950208578506,56,0.750483185156552,0.749328369454886,42.0,0.752216696867529,56.0
100,5,0.35,0.5,0.7633405799795865,9,0.7587939698492462,0.7580509821318455,12.0,0.7610672749144163,13.0
200,5,0.25,0.25,0.7639365488097097,2,0.7600824636000515,0.7592404377946447,3.0,0.7620095062048806,1.0
200,3,0.35,0.35,0.7630667802460501,14,0.7595026414121892,0.7589029253050248,6.0,0.7612847108291196,8.0
100,5,0.35,0.15,0.7616493333499699,31,0.7578920242236825,0.7571068088980271,20.0,0.7597706787868261,30.0
300,4,0.5,0.15,0.759748709598953,42,0.7558948589099342,0.7548326995107776,31.0,0.7578217842544437,43.0
